LINEARID,FULLNAME,RTTYP,MTFCC,COUNTYFP,STATE_ID,YEAR
1106087322569,E 2nd Exd,M,S1400,001,5,2023
1106087413622,E 10th Exd,M,S1400,001,5,2023
110378409201,E 2nd Exn,M,S1400,001,5,2023
1106087425018,E 10th Exn,M,S1400,001,5,2023
110378409278,W 2nd Exn,M,S1400,001,5,2023
110378456530,W Washington Exn,M,S1400,001,5,2023
110378412301,Jim E Lp,M,S1400,001,5,2023
1104471410017,US Hwy 79 Bus,U,S1400,001,5,2023
1104258038936,US Hwy 165 Bus,U,S1200,001,5,2023
1104471474756,US Hwy 79 Bus,U,S1200,001,5,2023
1104258129545,US Hwy 79 Bus,U,S1200,001,5,2023
1106087870728,State Hwy 1 Bus,S,S1200,001,5,2023
1105598224425,State Hwy 33 Spr,S,S1200,001,5,2023
1104259208405,State Hwy 276 Spr,S,S1200,001,5,2023
1102637996054,State Hwy 146 Spr,S,S1200,001,5,2023
110378403814,State Hwy 1 Spr,S,S1200,001,5,2023
110378406970,State Hwy 130 Spr,S,S1200,001,5,2023
110378431498,Old Almyra Way,M,S1400,001,5,2023
110378405427,Old Hwy 17,M,S1400,001,5,2023
110378420039,Old Post Rd,M,S1400,001,5,2023
1102637976468,Old England Hwy,M,S1400,001,5,2023
1102637976474,Old England Hwy,M,S1400,001,5,2023
1108301401725,Hwy 165 S,M,S1200,001,5,2023
1102187268384,Lily W,M,S1400,001,5,2023
110378431278,N Yoder Rd,M,S1400,001,5,2023
110378438258,N Porter St,M,S1400,001,5,2023
110378448195,N Prairie St,M,S1400,001,5,2023
110378448322,N Crockett St,M,S1400,001,5,2023
110378463552,N Forks Lagrue Rd,M,S1400,001,5,2023
110378433619,N Circle Dr,M,S1400,001,5,2023
110378433623,N Circle Dr,M,S1400,001,5,2023
110378446821,N Madison St,M,S1400,001,5,2023
110378445720,N Jackson St,M,S1400,001,5,2023
110378421544,N Adams St,M,S1400,001,5,2023
110378449348,N Whitehead Dr,M,S1200,001,5,2023
1105058373192,N Union,M,S1400,001,5,2023
110378433622,N Circle Dr,M,S1400,001,5,2023
110378424825,N Front,M,S1400,001,5,2023
1102637986076,N 1st,M,S1400,001,5,2023
110378408952,N 2nd,M,S1400,001,5,2023
1106073097431,N Maple St,M,S1400,001,5,2023
110378425070,N Grand St,M,S1400,001,5,2023
11017129712551,N Division St,M,S1400,001,5,2023
110378434261,N Dudley St,M,S1400,001,5,2023
110378430587,N Tyler St,M,S1400,001,5,2023
110378420451,N 8th St,M,S1400,001,5,2023
110378409843,N 5th,M,S1400,001,5,2023
110378410573,N 7th St,M,S1400,001,5,2023
110378448521,N Henderson,M,S1400,001,5,2023
110378418168,N Main St,M,S1400,001,5,2023
1104471475028,N Main St,M,S1200,001,5,2023
110378419565,N Park Ave,M,S1200,001,5,2023
110378420135,N Rose St,M,S1400,001,5,2023
110378420877,N Vine St,M,S1400,001,5,2023
1102637922082,N Maple St,M,S1400,001,5,2023
110378464423,N Keaton Flats Ln,M,S1400,001,5,2023
110378458008,N Forks Lagru,M,S1400,001,5,2023
110378423206,N Cedar St,M,S1400,001,5,2023
110378455925,N Washington St,M,S1400,001,5,2023
110378442697,N Clemons St,M,S1400,001,5,2023
110378454350,N Schallhorn St,M,S1400,001,5,2023
110378448569,N McMasters Ln,M,S1400,001,5,2023
1102172265834,N Elizabeth,M,S1400,001,5,2023
110378410205,N 6th St,M,S1400,001,5,2023
1102637922081,N Maple St,M,S1400,001,5,2023
1106073098087,N Anna St,M,S1400,001,5,2023
110378421254,N Wood St,M,S1400,001,5,2023
110378418171,N Main St,M,S1400,001,5,2023
1104258065107,N Monroe St,M,S1200,001,5,2023
110378423157,N Cedar Dr,M,S1400,001,5,2023
110378448359,N Harrison St,M,S1400,001,5,2023
110378412669,N May,M,S1400,001,5,2023
110378421542,N Adams St,M,S1400,001,5,2023
110378427284,N Maple,M,S1400,001,5,2023
110378452185,N Henry West Rd,M,S1400,001,5,2023
1103513963387,N CC Camp Rd,M,S1400,001,5,2023
110378409637,N 4th,M,S1400,001,5,2023
1102187250957,N 1st St,M,S1750,001,5,2023
11017129712550,N Division St,M,S1400,001,5,2023
1104258221896,N Buerkle St,M,S1200,001,5,2023
110378420879,N Vine St,M,S1400,001,5,2023
1102637922072,N Maple St,M,S1400,001,5,2023
110378433371,N Cherry St,M,S1400,001,5,2023
110378417952,N Main,M,S1400,001,5,2023
110378448517,N Grandview Dr,M,S1200,001,5,2023
1104258067495,N Whitehead St,M,S1200,001,5,2023
110378413271,N Oak St,M,S1400,001,5,2023
110378448635,N Van Buren St,M,S1400,001,5,2023
110378409841,N 5th,M,S1400,001,5,2023
1102594618572,N 2nd St,M,S1400,001,5,2023
1106073096185,N Stinking Bay Rd,M,S1400,001,5,2023
1105061238833,N Grand,M,S1400,001,5,2023
110378442818,N College St,M,S1400,001,5,2023
110378436545,N Leslie St,M,S1400,001,5,2023
110378431217,N Yoder Rd,M,S1400,001,5,2023
110378425599,N Hills Dr,M,S1400,001,5,2023
110378464420,N Keaton Flats Ln,M,S1400,001,5,2023
110378449350,N Whitehead Dr,M,S1200,001,5,2023
110378430825,N Union St,M,S1400,001,5,2023
110378448414,N Rabeneck Rd,M,S1400,001,5,2023
110378410141,N 6th,M,S1400,001,5,2023
110378446122,N Kennedy Rd,M,S1400,001,5,2023
110378417755,N Lowe St,M,S1400,001,5,2023
110378427353,N Maple St,M,S1400,001,5,2023
110378439813,N Spring St,M,S1400,001,5,2023
110378413490,N Roy St,M,S1400,001,5,2023
110378430827,N Union St,M,S1400,001,5,2023
110378448570,N McMasters Ln,M,S1400,001,5,2023
110378409462,N 3rd St,M,S1400,001,5,2023
110378417758,N Lowe St,M,S1400,001,5,2023
110378439811,N Spring St,M,S1400,001,5,2023
1106073096964,N Buerkle St,M,S1400,001,5,2023
1102637959703,N Wood St,M,S1400,001,5,2023
110378417757,N Lowe St,M,S1400,001,5,2023
110378438260,N Porter St,M,S1400,001,5,2023
110378425012,N Grand,M,S1400,001,5,2023
110378413203,N Oak,M,S1400,001,5,2023
110378423112,N Cedar Cir,M,S1400,001,5,2023
110378448543,N Jefferson St,M,S1400,001,5,2023
110378412732,N May St,M,S1400,001,5,2023
110378411371,N Ash St,M,S1400,001,5,2023
110378455928,N Washington St,M,S1400,001,5,2023
110378448212,N Rolison Dr,M,S1400,001,5,2023
110378448428,N Rollison,M,S1400,001,5,2023
1104258038946,N Front,M,S1200,001,5,2023
110378409635,N 4th,M,S1400,001,5,2023
1103951403156,S Hwy 152,M,S1400,001,5,2023
110378420196,S Rose St,M,S1400,001,5,2023
110378448326,S Crockett St,M,S1400,001,5,2023
110378438320,S Porter St,M,S1400,001,5,2023
110378415953,S Anna St,M,S1400,001,5,2023
110378433492,S Cherry St,M,S1400,001,5,2023
110378448329,S Crockett St,M,S1400,001,5,2023
110378436628,S Leslie St,M,S1400,001,5,2023
1103745389511,S Prairie St,M,S1400,001,5,2023
110378438315,S Porter St,M,S1400,001,5,2023
110378439873,S Spring St,M,S1400,001,5,2023
110378448327,S Crockett St,M,S1400,001,5,2023
110378432739,S Buemer St,M,S1400,001,5,2023
110378413013,S Oak,M,S1400,001,5,2023
110378445853,S Jackson St,M,S1400,001,5,2023
1106073097438,S Union St,M,S1400,001,5,2023
110378448765,S Van Buren St,M,S1400,001,5,2023
110378466767,S Stinking Bay Rd,M,S1400,001,5,2023
110378452277,S Henry West Rd,M,S1400,001,5,2023
110378421309,S Wood St,M,S1400,001,5,2023
1102637955901,S Henderson St,M,S1400,001,5,2023
110378438317,S Porter St,M,S1400,001,5,2023
110378442882,S College St,M,S1400,001,5,2023
