LINEARID,FULLNAME,RTTYP,MTFCC,COUNTYFP,STATE_ID,YEAR
110167233921,23rd Ave Ovp,M,S1400,001,6,2023
11019626071486,29th Ave Ovp,M,S1400,001,6,2023
110167233920,23rd Ave Ovp,M,S1400,001,6,2023
1102312371482,Buchanan St Exd,M,S1400,001,6,2023
1102312371478,Buchanan St Exd,M,S1400,001,6,2023
1106087295873,Virginia St Exd,M,S1400,001,6,2023
1102604094953,Mariner Sq Lp,M,S1400,001,6,2023
110167256975,Mariner Sq Lp,M,S1400,001,6,2023
110167241954,Bus Center Dr,M,S1400,001,6,2023
11010947415766,Bus Center Dr,M,S1400,001,6,2023
110167247722,Old Quarry Rd,M,S1400,001,6,2023
1103354073249,Old Oak Ln,M,S1400,001,6,2023
110167264020,Old Fairview Ave,M,S1500,001,6,2023
1102389927594,Old Santa Rita Rd,M,S1400,001,6,2023
110167241235,Old Bernal Ave,M,S1400,001,6,2023
110167264315,Old Foothill Rd,M,S1400,001,6,2023
110167283132,Old Warm Springs Blvd,M,S1400,001,6,2023
110167242919,Old Dublin Rd,M,S1400,001,6,2023
1102159832157,Old Oak Rd,M,S1400,001,6,2023
110167264021,Old Fairview Ave,M,S1500,001,6,2023
1102390018637,Old Oak Rd,M,S1400,001,6,2023
1102157552808,Old Oak Rd,M,S1400,001,6,2023
1102390018635,Old Oak Rd,M,S1400,001,6,2023
110167251749,Old Alameda Pt,M,S1400,001,6,2023
1106087297012,Old Canyon Rd,M,S1400,001,6,2023
11029678065954,Old Hillary Rd,M,S1400,001,6,2023
1102389927592,Old Santa Rita Rd,M,S1400,001,6,2023
1103690403162,Old Oak Rd,M,S1400,001,6,2023
1102390018636,Old Oak Rd,M,S1400,001,6,2023
110167236339,Old Glory Ct,M,S1400,001,6,2023
110167238944,Old Tower Rd,M,S1400,001,6,2023
110167271305,Old Westbury Way,M,S1400,001,6,2023
11012814430234,Old Vineyard Ave,M,S1400,001,6,2023
1102604070495,Old Fairview Ave,M,S1400,001,6,2023
110167233278,Old 1st St,M,S1400,001,6,2023
1102390018634,Old Oak Rd,M,S1400,001,6,2023
110167233711,Old Oak Pl,M,S1400,001,6,2023
1102956404639,Old Quarry Loop,M,S1400,001,6,2023
110167242920,Old Dublin Rd,M,S1400,001,6,2023
110167264019,Old Fairview Ave,M,S1500,001,6,2023
1102389927593,Old Santa Rita Rd,M,S1400,001,6,2023
1106087294857,Old Redwood Rd,M,S1400,001,6,2023
110167236271,Flynn Rd N,M,S1400,001,6,2023
110167244020,Hawaii Ct N,M,S1400,001,6,2023
110167255238,Glacier Ct N,M,S1400,001,6,2023
110167237829,Platt Ct N,M,S1400,001,6,2023
110167274848,Gibraltar Dr N,M,S1400,001,6,2023
1106073057836,Gibraltar Dr N,M,S1400,001,6,2023
110167277386,Gettysburg Ct N,M,S1400,001,6,2023
110167271669,Yosemite Ct N,M,S1400,001,6,2023
110167235239,View Dr N,M,S1400,001,6,2023
1102156744414,San Leandro N,M,S1400,001,6,2023
110167258180,Picardy Dr N,M,S1400,001,6,2023
110167257864,Olympic Ct N,M,S1400,001,6,2023
110167245024,Locust Pl N,M,S1400,001,6,2023
110167283718,Pleasant Valley Ct N,M,S1400,001,6,2023
110167255242,Glacier Ct S,M,S1400,001,6,2023
110167236272,Flynn Rd S,M,S1400,001,6,2023
110167276227,Rockridge Blvd S,M,S1400,001,6,2023
1102406970079,Sleepy Hollow Ave S,M,S1400,001,6,2023
110167245028,Locust Pl S,M,S1400,001,6,2023
110167258182,Picardy Dr S,M,S1400,001,6,2023
110167274850,Gibraltar Dr S,M,S1400,001,6,2023
110167244024,Hawaii Ct S,M,S1400,001,6,2023
110167283357,Sleepy Hollow Ave S,M,S1400,001,6,2023
110167235240,View Dr S,M,S1400,001,6,2023
110167271672,Yosemite Ct S,M,S1400,001,6,2023
110167283719,Pleasant Valley Ct S,M,S1400,001,6,2023
110167257867,Olympic Ct S,M,S1400,001,6,2023
110167237832,Platt Ct S,M,S1400,001,6,2023
