LINEARID,FULLNAME,RTTYP,MTFCC,COUNTYFP,STATE_ID,YEAR
1103682624766,N Church Rd Exd,M,S1400,110,9,2023
1103682624775,N Church Rd Exd,M,S1400,110,9,2023
1104771735679,E River Dr Exd,M,S1400,110,9,2023
110431723647,E River Dr Exd,M,S1200,110,9,2023
1103681528868,Tunxis Ave Exd,M,S1400,110,9,2023
110431729564,Lydall Rd Exd,M,S1400,110,9,2023
110431720443,Oak St Exd,M,S1400,110,9,2023
1101177987648,Fairview Ave Exd,M,S1400,110,9,2023
110431737119,William St Exd,M,S1400,110,9,2023
110431728811,Edward St Exd,M,S1400,110,9,2023
110431723317,Maple Ave Exd,M,S1400,110,9,2023
110431730953,Vernon St Exd,M,S1400,110,9,2023
110431717423,Elm St Exd,M,S1400,110,9,2023
1101177988213,Thornbush Rd Exd,M,S1400,110,9,2023
110431729200,Hooker St Exd,M,S1400,110,9,2023
110431742330,Woodford Ave Exd,M,S1400,110,9,2023
110431721373,Main St Exd,M,S1400,110,9,2023
110431720662,Abbe Rd Exd,M,S1400,110,9,2023
11030538666043,Gehring Rd Exd,M,S1400,110,9,2023
11030538666042,Gehring Rd Exd,M,S1400,110,9,2023
1101177987783,Morrison St Exd,M,S1400,110,9,2023
110431717421,Elm St Exd,M,S1400,110,9,2023
110431749219,Pigeon Hill Rd Exd,M,S1400,110,9,2023
110431746085,Blue Hills Ave Exd,M,S1200,110,9,2023
110431720442,Oak St Exd,M,S1400,110,9,2023
110431731719,Burnham St Exd,M,S1400,110,9,2023
1103682482337,Wadsworth St Exd,M,S1400,110,9,2023
110431730736,Summer St Exd,M,S1400,110,9,2023
1101177985973,Brown Ave Exd,M,S1400,110,9,2023
1103538467121,Gehring Rd Exd,M,S1400,110,9,2023
1101177988626,Babcock Hill Rd Exd,M,S1400,110,9,2023
1101177986489,South St Exd,M,S1400,110,9,2023
1103670406921,Cedar Swamp Rd Exd,M,S1400,110,9,2023
1103458215414,Columbus St Exd,M,S1400,110,9,2023
110431722436,Burke St Exd,M,S1400,110,9,2023
110431733994,Enfield Ter Exd,M,S1400,110,9,2023
110431731019,Warner St Exd,M,S1400,110,9,2023
110431740479,Margaret Rd Exd,M,S1400,110,9,2023
110431720983,Fern St Exd,M,S1400,110,9,2023
1103679123134,Horse Barn Hill Exd,M,S1400,110,9,2023
1101177987504,Whitney Rd Exd,M,S1400,110,9,2023
