LINEARID,FULLNAME,RTTYP,MTFCC,COUNTYFP,STATE_ID,YEAR
1103677897016,NW 6th St Exd,M,S1400,001,12,2023
110372398915,NW 34th St Exd,M,S1200,001,12,2023
1104484266672,State Hwy 26 Alt,S,S1200,001,12,2023
1104484263719,State Hwy 26 Alt,S,S1200,001,12,2023
1104484266671,State Hwy 26 Alt,S,S1200,001,12,2023
1103607901825,SE 9th Pl Is A Logging Trail/no Resident Acc,M,S1780,001,12,2023
1103607901239,Logging Trail/no Resident Acc,M,S1400,001,12,2023
1103607902699,Logging Trail/no Resident Acc,M,S1400,001,12,2023
1103607901059,Logging Trail/no Resident Acc,M,S1740,001,12,2023
1103607901633,Logging Trail/no Resident Acc,M,S1400,001,12,2023
1103607903336,Logging Trail/no Resident Acc,M,S1400,001,12,2023
1103690930386,Logging Trail/no Resident Acc,M,S1400,001,12,2023
1105646220230,Logging Trail/no Resident Acc,M,S1400,001,12,2023
1105646216517,Old Bellamy Rd,M,S1400,001,12,2023
110372409397,Old Archer Rd,M,S1400,001,12,2023
110372409738,Old Bellamy Rd,M,S1400,001,12,2023
1106092807946,Old Providence Rd,M,S1400,001,12,2023
110372409743,Old Bellamy Rd,M,S1400,001,12,2023
110372395422,Old State Hwy 329,S,S1400,001,12,2023
1106087325494,Old Bellamy Rd,M,S1400,001,12,2023
110372409737,Old Bellamy Rd,M,S1400,001,12,2023
110372404651,NE Deese Dr N,M,S1400,001,12,2023
110372396171,Par Cir N,M,S1400,001,12,2023
1102604251847,Franklin Ave N,M,S1400,001,12,2023
1103690931597,NE 93 S,M,S1400,001,12,2023
110372404652,NE Deese Dr S,M,S1400,001,12,2023
1105061315702,Deer Run S,M,S1400,001,12,2023
110372404653,NE Deese Dr E,M,S1400,001,12,2023
110372410654,Thistle Hill E,M,S1400,001,12,2023
110372410657,Thistle Hill E,M,S1400,001,12,2023
110372404654,NE Deese Dr W,M,S1400,001,12,2023
110372404647,Creek Dr W,M,S1400,001,12,2023
110372399977,44th Dr NW,M,S1400,001,12,2023
110372401970,80th Pl SW,M,S1400,001,12,2023
110372403340,N Main St,M,S1400,001,12,2023
110372408057,N W 119 St,M,S1400,001,12,2023
110372409612,N W 36th Ct,M,S1400,001,12,2023
1103718244543,N W 198th Ln,M,S1400,001,12,2023
110372409608,N W 17th St,M,S1400,001,12,2023
110372394538,N Co Rd 225,C,S1400,001,12,2023
110372403347,N Main Ter,M,S1400,001,12,2023
1106087325491,N W 8th Ave,M,S1400,001,12,2023
110372407994,N W 114 Dr,M,S1400,001,12,2023
1104478268322,N Main St,M,S1200,001,12,2023
110372409606,N W 15th Pl,M,S1400,001,12,2023
110372409609,N W 19th St,M,S1400,001,12,2023
1106087821455,N South Dr,M,S1400,001,12,2023
110372410620,N W 34th St R,M,S1400,001,12,2023
110372408058,N W 120 St,M,S1400,001,12,2023
1106087316484,N W 118 Ter,M,S1400,001,12,2023
110372403341,N Main St,M,S1400,001,12,2023
1104478268321,N Main St,M,S1200,001,12,2023
110372403334,N Main St,M,S1200,001,12,2023
110372408023,N W 118 Dr,M,S1400,001,12,2023
110372409605,N W 10th Ln,M,S1400,001,12,2023
110372410736,N Caledonia Ranch,M,S1740,001,12,2023
110372410023,N Division St,M,S1400,001,12,2023
1104478268319,N Main St,M,S1200,001,12,2023
110372403331,N Main St,M,S1200,001,12,2023
1108312285564,N Co Rd 1491,C,S1400,001,12,2023
110372403330,N Main St,M,S1200,001,12,2023
110372409989,N Boundary St,M,S1400,001,12,2023
1106087324997,N W 106th St,M,S1400,001,12,2023
110372408060,N W 138 Ave,M,S1400,001,12,2023
110372400808,N 55th Way,M,S1400,001,12,2023
110372409696,S W 92nd Ter,M,S1400,001,12,2023
110372409965,S W 105th Dr,M,S1400,001,12,2023
110372409658,S W 54th Ln,M,S1400,001,12,2023
1105646223470,S W 91st St,M,S1400,001,12,2023
110372409660,S W 54th Rd,M,S1400,001,12,2023
110372409639,S W 50th Rd,M,S1400,001,12,2023
110372409647,S W 51st St,M,S1400,001,12,2023
110372409620,S W 45th Blvd,M,S1400,001,12,2023
110372407948,S W 102 Ter,M,S1400,001,12,2023
11015502043713,S W 105th Dr,M,S1400,001,12,2023
11015502043711,S W 105th Dr,M,S1400,001,12,2023
11015502043714,S W 105th Dr,M,S1400,001,12,2023
110372408059,S W 127 Ave,M,S1400,001,12,2023
110372409668,S W 79th Ter,M,S1400,001,12,2023
110372409715,S W 97th St,M,S1400,001,12,2023
110372409954,S W 101st Dr,M,S1400,001,12,2023
110372409633,S W 48th Pl,M,S1400,001,12,2023
1106087323658,S W 91st Dr,M,S1400,001,12,2023
110372403409,S W 52 Ave,M,S1400,001,12,2023
110372409661,S W 55th Ln,M,S1400,001,12,2023
110372409667,S W 61st Ave,M,S1400,001,12,2023
110372409610,S W 35th Ln,M,S1400,001,12,2023
110372409700,S W 93rd Way,M,S1400,001,12,2023
110372409617,S W 42nd Pl,M,S1400,001,12,2023
1106087330543,S W 86th Dr,M,S1400,001,12,2023
110372410621,S W Wacahoota Rd,M,S1400,001,12,2023
110372409698,S W 93rd Dr,M,S1400,001,12,2023
110372409621,S W 45th Ln,M,S1400,001,12,2023
110372409716,S W 97th Way,M,S1400,001,12,2023
110372409652,S W 52nd Ln,M,S1400,001,12,2023
110372403410,S W 91 Ter,M,S1400,001,12,2023
110372409672,S W 84th Way,M,S1400,001,12,2023
110372409625,S W 46th Ln,M,S1400,001,12,2023
1106087319537,S W 103rd Dr,M,S1400,001,12,2023
110372409653,S W 52nd Rd,M,S1400,001,12,2023
110372409670,S W 83rd Way,M,S1400,001,12,2023
11015502043715,S W 105th Dr,M,S1400,001,12,2023
