LINEARID,FULLNAME,RTTYP,MTFCC,COUNTYFP,STATE_ID,YEAR
110411149870,S Main Exd,M,S1400,001,13,2023
110411155673,Eason Bluff Exd,M,S1400,001,13,2023
110411154996,Lackawanna Exd,M,S1400,001,13,2023
110411155672,Eason Bluff Exd,M,S1400,001,13,2023
1102630485309,Oak St Exd,M,S1400,001,13,2023
110411151776,Central St Exd,M,S1400,001,13,2023
110411155044,Poor Robin Exd,M,S1400,001,13,2023
110411155634,County Farm Exd,M,S1400,001,13,2023
1103717635106,County Farm Exd,M,S1400,001,13,2023
1102813175042,Hayes Exd,M,S1400,001,13,2023
1103717635105,County Farm Exd,M,S1400,001,13,2023
110411149739,Fair St Exd,M,S1400,001,13,2023
110411155640,County Farm Rd Exd,M,S1400,001,13,2023
110411155636,County Farm Exd,M,S1400,001,13,2023
110411149873,S Main Exn,M,S1400,001,13,2023
110411151958,Leggett Exn,M,S1400,001,13,2023
110411149930,Pine St Exn,M,S1400,001,13,2023
1105061245667,Holmesville Exn,M,S1400,001,13,2023
110411151959,Leggett Exn,M,S1400,001,13,2023
11027717081892,Old Ben Carter Rd,M,S1400,001,13,2023
110411156435,Old Feild Cemetary Rd,M,S1400,001,13,2023
110411156440,Old Field Cemetery Rd,M,S1400,001,13,2023
1106092808016,Old Blackshear Hwy Rd,M,S1400,001,13,2023
110411153193,Old Blackshear Rd,M,S1400,001,13,2023
110411156438,Old Field Cemetary Rd,M,S1400,001,13,2023
110411152395,Old Surrency Rd,M,S1400,001,13,2023
110411152790,Old Ben Carter Rd,M,S1400,001,13,2023
110411150932,Lewis Ln N,M,S1400,001,13,2023
110411155847,Hatch Pkwy N,M,S1200,001,13,2023
110411150865,Hatch Pkwy N,M,S1400,001,13,2023
110411150755,Canal St N,M,S1400,001,13,2023
110411155654,County Line Rd N,M,S1400,001,13,2023
110411152325,Palmetto Cir N,M,S1400,001,13,2023
110411155652,County Line Rd N,M,S1400,001,13,2023
110411151400,Holton St N,M,S1400,001,13,2023
110411155653,County Line Rd N,M,S1400,001,13,2023
110411155651,County Line Rd N,M,S1400,001,13,2023
11015504599430,Hatch Pkwy S,M,S1200,001,13,2023
1103717642845,County Line Rd S,M,S1400,001,13,2023
11015504599429,Hatch Pkwy S,M,S1200,001,13,2023
110411152330,Palmetto Cir S,M,S1400,001,13,2023
1103717642846,County Line Rd S,M,S1400,001,13,2023
11015504449353,Hatch Pkwy S,M,S1200,001,13,2023
110479425116,County Line Rd S,M,S1400,001,13,2023
1106092808015,Golden Isles Hwy E,M,S1200,001,13,2023
110411156010,Golden Isles Hwy W,M,S1200,001,13,2023
110411156006,Golden Isle W,M,S1200,001,13,2023
1103615893031,James Stanfeild Rd NE,M,S1400,001,13,2023
1106087373126,Blackshear Hwy SE,M,S1200,001,13,2023
1106087372904,State Rte 121 SE,S,S1200,001,13,2023
110411153088,Blackshear Hwy SE,M,S1200,001,13,2023
11015922662460,McKinney Ln SW,M,S1400,001,13,2023
110411149863,N Main St,M,S1200,001,13,2023
110411149632,N Lee St,M,S1400,001,13,2023
110411149906,N Park Ave,M,S1400,001,13,2023
110411151623,N W Park Ave,M,S1400,001,13,2023
110411152534,N End Break,M,S1400,001,13,2023
110411151320,N End Bk,M,S1400,001,13,2023
110411152302,N McCrorie St,M,S1400,001,13,2023
110411149633,N Lee St,M,S1400,001,13,2023
110411155967,N Donnie Lewis Ln,M,S1400,001,13,2023
1106087833930,N Main St,M,S1200,001,13,2023
110411149587,N 3rd St,M,S1400,001,13,2023
1103497172919,N Main St,M,S1400,001,13,2023
110411152538,N End River Rd,M,S1400,001,13,2023
110411152187,N Copeland St,M,S1400,001,13,2023
110411155966,N Donnie Lewis Ln,M,S1400,001,13,2023
110411152528,N E Tillman Rd,M,S1400,001,13,2023
110411149913,S Park St,M,S1400,001,13,2023
110411149914,S Park St,M,S1400,001,13,2023
110411149867,S Main St,M,S1200,001,13,2023
110411149637,S Lee St,M,S1400,001,13,2023
1106087372975,S Crosby St,M,S1400,001,13,2023
110411151626,S W Park Ave,M,S1400,001,13,2023
110411151534,E Parker St,M,S1200,001,13,2023
1103278447533,E 144,M,S1200,001,13,2023
110411149992,E Allen St,M,S1400,001,13,2023
110411152441,E Tollison St,M,S1400,001,13,2023
110411151533,E Parker St,M,S1200,001,13,2023
1103278447634,E 144 Rd,M,S1200,001,13,2023
110411151057,E River Rd,M,S1400,001,13,2023
110411149916,E Park Ave,M,S1400,001,13,2023
1103361899722,E Herndon Rd,M,S1400,001,13,2023
110411151535,E Parker St,M,S1200,001,13,2023
110411151185,W B Cain,M,S1400,001,13,2023
110411152443,W Tollison St,M,S1400,001,13,2023
110411151861,W F Miles Rd,M,S1400,001,13,2023
1106092779732,W River Rd,M,S1400,001,13,2023
110411151537,W Parker St,M,S1200,001,13,2023
110411149846,W Line Rd,M,S1400,001,13,2023
110411149994,W Allen,M,S1400,001,13,2023
110411149998,W Alley St,M,S1400,001,13,2023
110411151691,W A Stone Ln,M,S1400,001,13,2023
1103477276983,W Park Dr,M,S1400,001,13,2023
110411149919,SE Park Ave,M,S1400,001,13,2023
110411157880,NA,NA,S1400,001,13,2023
110411155133,Alan Harvey Dr,M,S1400,001,13,2023
110411158547,NA,NA,S1400,001,13,2023
110411151484,Mincey Ln,M,S1400,001,13,2023
110411156104,Marvin Paulk Ln,M,S1400,001,13,2023
110411151204,Benton Ln,M,S1400,001,13,2023
110411156498,Morris Landing Rd,M,S1400,001,13,2023
110411157750,NA,NA,S1400,001,13,2023
1102638093821,NA,NA,S1400,001,13,2023
110411157733,NA,NA,S1400,001,13,2023
110411152402,Sweetgum Ln,M,S1400,001,13,2023
110411157929,NA,NA,S1400,001,13,2023
110411155828,Ottie Eason Rd,M,S1400,001,13,2023
1103691056477,NA,NA,S1400,001,13,2023
110411158020,NA,NA,S1400,001,13,2023
110411149515,State Rte 144,S,S1400,001,13,2023
110411158431,NA,NA,S1400,001,13,2023
110411158428,NA,NA,S1400,001,13,2023
1103758167965,River Ridgs Dr,M,S1400,001,13,2023
110411157927,NA,NA,S1400,001,13,2023
1103672724825,NA,NA,S1400,001,13,2023
110411149433,State Rte 4,S,S1200,001,13,2023
1103939472325,NA,NA,S1400,001,13,2023
110411154999,Lily Moody Rd,M,S1400,001,13,2023
110411149692,Dana Rd,M,S1400,001,13,2023
1103891174909,NA,NA,S1400,001,13,2023
110411156292,Linton Carter Rd,M,S1400,001,13,2023
1102638093836,NA,NA,S1400,001,13,2023
110411151736,Blexder Rd,M,S1400,001,13,2023
