LINEARID,FULLNAME,RTTYP,MTFCC,COUNTYFP,STATE_ID,YEAR
1103728214813,Ainako Ave Exd,M,S1400,001,15,2023
1103890709860,Puainako Exd,M,S1200,001,15,2023
1104258643968,Puainako Exd,M,S1200,001,15,2023
1103933153286,Puanako Exd,M,S1200,001,15,2023
1103479117705,Aloha Blvd Exn,M,S1400,001,15,2023
1104486197669,Keaau Byp,M,S1200,001,15,2023
1105645113072,Keaau Byp,M,S1200,001,15,2023
1104486222576,Keaau Byp,M,S1200,001,15,2023
110159774135,Botanical Garden Acc,M,S1740,001,15,2023
1103630343475,Bus Stop Rd,M,S1400,001,15,2023
110159771155,Old Mamalahoa Hwy,M,S1400,001,15,2023
110159771151,Old Mamalahoa Hwy,M,S1400,001,15,2023
110159771148,Old Mamalahoa Hwy,M,S1400,001,15,2023
1103630556024,Old Homestead Rd,M,S1400,001,15,2023
110159771149,Old Mamalahoa Hwy,M,S1400,001,15,2023
110159768640,Old Kalapana Rd,M,S1400,001,15,2023
1105645260872,Old Mamalahoa Hwy,M,S1400,001,15,2023
1104473134347,Old Mamalahoa Hwy,M,S1400,001,15,2023
110159771167,Old Mamalahoa Rd,M,S1400,001,15,2023
110159772171,Old Mamalahoha Hwy,M,S1400,001,15,2023
110159771160,Old Mamalahoa Hwy,M,S1400,001,15,2023
1104692157710,Old Government Rd,M,S1400,001,15,2023
110159768216,Old Hawaiian Trl,M,S1710,001,15,2023
1103944981090,Old Mamorayoa Hwy,M,S1400,001,15,2023
1103624894537,Old Mamalahoa Hwy,M,S1400,001,15,2023
11012814427799,Old Mauka Government Rd,M,S1400,001,15,2023
1103944526937,Old Government Rd,M,S1400,001,15,2023
110159771147,Old Mamalahoa Hwy,M,S1400,001,15,2023
11012814427787,Old Mamalahoa Hwy,M,S1400,001,15,2023
1105645260439,Old Mamalahoa Hwy,M,S1400,001,15,2023
1106088117429,Old Mamalahoa Hwy,M,S1400,001,15,2023
1105645261976,Old Mamalahoa Hwy,M,S1400,001,15,2023
110159774349,Old General Lyman Field,M,S1400,001,15,2023
1104691933853,Old Volcano Trl,M,S1400,001,15,2023
110159767796,Old Volcano Rd,M,S1400,001,15,2023
110159767797,Old Volcano Rd,M,S1400,001,15,2023
1104690929717,Old Mamalahoa Rd,M,S1400,001,15,2023
1103725863892,Old Mamalahoa Hwy,M,S1400,001,15,2023
11031985023388,Old Government Mauka Rd,M,S1400,001,15,2023
11012814427786,Old Mamalahoa Hwy,M,S1400,001,15,2023
110159758130,Old RR Grade,M,S1710,001,15,2023
110159771793,Old Government Rd,M,S1400,001,15,2023
1104258210680,Old Mamalahoa Hwy,M,S1200,001,15,2023
110159771153,Old Mamalahoa Hwy,M,S1400,001,15,2023
110159759245,Old Camp Rd,M,S1500,001,15,2023
1103663428777,Old Puako Rd,M,S1400,001,15,2023
110159772164,Old Mamalahoa Hwy,M,S1400,001,15,2023
110159767801,Old Volcano Rd,M,S1400,001,15,2023
1104692157960,Old Volcano Rd,M,S1200,001,15,2023
1105645260758,Old Mamalahoa Hwy,M,S1400,001,15,2023
1103624895367,Old Mamalahoa Rd,M,S1400,001,15,2023
1106087973357,Old Coast Guard Rd,M,S1400,001,15,2023
1103916892705,Old Halaula Mill Rd,M,S1400,001,15,2023
110159758129,Old RR Grade,M,S1710,001,15,2023
11012814427789,Old Mamalahoa Hwy,M,S1400,001,15,2023
110159773085,Old Poi Factory Rd,M,S1400,001,15,2023
110159771795,Old Government Rd,M,S1400,001,15,2023
110159768082,Old Cemetary Rd,M,S1400,001,15,2023
110159764904,Old Onomea Rd,M,S1400,001,15,2023
110159796359,Old Mamalahoa Hwy,M,S1400,001,15,2023
1104692152969,Old Government Rd,M,S1400,001,15,2023
1106081431815,Old Volcano Rd,M,S1200,001,15,2023
110159767803,Old Volcano Rd,M,S1400,001,15,2023
110159767798,Old Volcano Rd,M,S1400,001,15,2023
110159763080,Old County Rd,M,S1400,001,15,2023
1104691877689,Old Mauka Government Road Trl,M,S1400,001,15,2023
1103942483642,Old Government Rd,M,S1400,001,15,2023
1105645261387,Old Mamalahoa Rd,M,S1400,001,15,2023
1103890117891,Old Gourd,M,S1400,001,15,2023
110159768083,Old Cemetary Rd,M,S1400,001,15,2023
110159772172,Old Mamalahoa Hwy,M,S1400,001,15,2023
1103926921984,Old Mamalahoa Hwy,M,S1400,001,15,2023
110159771784,Old Government Rd,M,S1400,001,15,2023
110159767802,Old Volcano Rd,M,S1400,001,15,2023
110159771152,Old Mamalahoa Hwy,M,S1400,001,15,2023
110159771125,Old Mamalahoa Hwy,M,S1400,001,15,2023
110159771293,Old Millstack Rd,M,S1400,001,15,2023
11031985019699,Old Government Rd,M,S1400,001,15,2023
1103855279898,Old Homestead Rd,M,S1400,001,15,2023
110159770389,Old Homestead Rd,M,S1400,001,15,2023
