LINEARID,FULLNAME,RTTYP,MTFCC,COUNTYFP,STATE_ID,YEAR
1103694721059,E Monroe St Exd,M,S1400,001,18,2023
1105533836827,Old Course Ct,M,S1400,001,18,2023
11060215642,Old Hickory Ln,M,S1400,001,18,2023
11060215748,Old Colonial Dr,M,S1400,001,18,2023
1102638101643,E 900 N,M,S1400,001,18,2023
11060215226,E 1000 N,M,S1400,001,18,2023
11060215192,E 850 N,M,S1400,001,18,2023
11060215083,E 450 N,M,S1400,001,18,2023
11060215008,E 225 N,M,S1400,001,18,2023
11060214941,E 100 N,M,S1400,001,18,2023
11060214973,E 150 N,M,S1400,001,18,2023
11060214971,E 150 N,M,S1400,001,18,2023
1105061337378,E 1200 N,M,S1400,001,18,2023
11060215148,E 650 N,M,S1200,001,18,2023
11060215137,E 600 N,M,S1400,001,18,2023
11060215257,E 1150 N,M,S1400,001,18,2023
11060215014,E 250 N,M,S1400,001,18,2023
1108296536488,E 400 N,M,S1400,001,18,2023
11060215043,E 350 N,M,S1400,001,18,2023
11060215186,E 800 N,M,S1400,001,18,2023
1102638101642,E 900 N,M,S1400,001,18,2023
11060215114,E 550 N,M,S1400,001,18,2023
11060214972,E 150 N,M,S1400,001,18,2023
11060215033,E 300 N,M,S1400,001,18,2023
11060215256,E 1150 N,M,S1400,001,18,2023
11060215208,E 950 N,M,S1400,001,18,2023
11060214892,E 25 N,M,S1400,001,18,2023
11060215191,E 850 N,M,S1400,001,18,2023
1106080859786,E 900 N,M,S1400,001,18,2023
1108296536489,E 400 N,M,S1400,001,18,2023
110387295508,E 900 N,M,S1200,001,18,2023
11060215246,E 1100 N,M,S1400,001,18,2023
11060215201,E 900 N,M,S1400,001,18,2023
11060215171,E 700 N,M,S1400,001,18,2023
11060214990,E 200 N,M,S1400,001,18,2023
11060214920,E 50 N,M,S1400,001,18,2023
11060215234,E 1050 N,M,S1400,001,18,2023
11060215229,W 1000 N,M,S1400,001,18,2023
11060215228,W 1000 N,M,S1400,001,18,2023
11060215115,W 550 N,M,S1400,001,18,2023
11060215173,W 700 N,M,S1400,001,18,2023
11060215138,W 600 N,M,S1200,001,18,2023
11060215084,W 450 N,M,S1400,001,18,2023
11060215103,W 500 N,M,S1400,001,18,2023
11060215204,W 900 N,M,S1400,001,18,2023
11060214922,W 50 N,M,S1400,001,18,2023
1105061354295,W 1200 N,M,S1400,001,18,2023
11060214943,W 100 N,M,S1400,001,18,2023
11060215237,W 1050 N,M,S1400,001,18,2023
11060215150,W 650 N,M,S1400,001,18,2023
11060215035,W 300 N,M,S1400,001,18,2023
11060215178,W 750 N,M,S1400,001,18,2023
11060215250,W 1100 N,M,S1400,001,18,2023
1105061352636,W 1200 N,M,S1400,001,18,2023
11060215074,W 400 N,M,S1400,001,18,2023
11060215075,W 400 N,M,S1400,001,18,2023
11060214992,W 200 N,M,S1400,001,18,2023
11060215249,W 1100 N,M,S1400,001,18,2023
11060215236,W 1050 N,M,S1400,001,18,2023
11060215203,W 900 N,M,S1400,001,18,2023
110387295516,W 900 N,M,S1400,001,18,2023
11060215193,W 850 N,M,S1400,001,18,2023
11060215091,Co Rd 500 N,C,S1400,001,18,2023
1102217338329,Co Rd 1200 N,C,S1400,001,18,2023
110509964105,Co Rd 1200 N,C,S1400,001,18,2023
11060215260,Co Rd 1175 N,C,S1400,001,18,2023
11060215242,Co Rd 1075 N,C,S1400,001,18,2023
11060214964,Co Rd 150 N,C,S1400,001,18,2023
1106087287612,US Hwy 27 N,U,S1200,001,18,2023
11060215176,Co Rd 750 N,C,S1400,001,18,2023
1105061301983,900 N,M,S1400,001,18,2023
110509964107,Co Rd 1200 N,C,S1400,001,18,2023
1105533834235,N Polk S,M,S1400,001,18,2023
11060215102,E 500 S,M,S1400,001,18,2023
11060214942,E 100 S,M,S1400,001,18,2023
11060215235,E 1050 S,M,S1200,001,18,2023
11060215262,E 1175 S,M,S1400,001,18,2023
1105061286246,E 1200 S,M,S1400,001,18,2023
11060215248,E 1100 S,M,S1400,001,18,2023
1105061284984,E 1200 S,M,S1400,001,18,2023
11060215101,E 500 S,M,S1400,001,18,2023
11060214991,E 200 S,M,S1400,001,18,2023
11060215034,E 300 S,M,S1400,001,18,2023
1108475836144,E 550 S,M,S1400,001,18,2023
11060215044,E 350 S,M,S1400,001,18,2023
11060215073,E 400 S,M,S1400,001,18,2023
11060215149,E 650 S,M,S1400,001,18,2023
11060215232,E 1025 S,M,S1400,001,18,2023
11060214921,E 50 S,M,S1400,001,18,2023
11060214974,E 150 S,M,S1400,001,18,2023
11060215187,E 800 S,M,S1400,001,18,2023
11060215247,E 1100 S,M,S1200,001,18,2023
11060215261,E 1175 S,M,S1400,001,18,2023
11060215172,E 700 S,M,S1400,001,18,2023
11060215202,E 900 S,M,S1400,001,18,2023
1105061289214,E 1200 S,M,S1400,001,18,2023
11060215177,E 750 S,M,S1400,001,18,2023
11060215227,E 1000 S,M,S1400,001,18,2023
11033373470991,W 1100 S,M,S1400,001,18,2023
11060215151,W 650 S,M,S1400,001,18,2023
11060215046,W 350 S,M,S1400,001,18,2023
11060215077,W 400 S,M,S1400,001,18,2023
11060215254,W 1125 S,M,S1400,001,18,2023
11060215240,W 1050 S,M,S1200,001,18,2023
1105059958316,W 1050 S,M,S1200,001,18,2023
11060215116,W 550 S,M,S1400,001,18,2023
11060215196,W 850 S,M,S1400,001,18,2023
11060215209,W 950 S,M,S1400,001,18,2023
11060215238,W 1050 S,M,S1200,001,18,2023
11060214945,W 100 S,M,S1400,001,18,2023
11060214994,W 200 S,M,S1400,001,18,2023
11060215252,W 1100 S,M,S1400,001,18,2023
1105061306312,W 1200 S,M,S1400,001,18,2023
11060214923,W 50 S,M,S1400,001,18,2023
11060215015,W 250 S,M,S1400,001,18,2023
11033373470992,W 1100 S,M,S1400,001,18,2023
11060215259,W 1150 S,M,S1400,001,18,2023
11060215276,W 1200 S,M,S1400,001,18,2023
11060215045,W 350 S,M,S1400,001,18,2023
11060215104,W 500 S,M,S1400,001,18,2023
11060215197,W 850 S,M,S1400,001,18,2023
11060215253,W 1100 S,M,S1400,001,18,2023
11060215076,W 400 S,M,S1400,001,18,2023
11060215241,W 1050 S,M,S1400,001,18,2023
11060215188,W 800 S,M,S1400,001,18,2023
11060215233,W 1025 S,M,S1400,001,18,2023
11060215139,W 600 S,M,S1200,001,18,2023
11060215175,W 700 S,M,S1400,001,18,2023
11060215174,W 700 S,M,S1400,001,18,2023
11060215190,W 825 S,M,S1400,001,18,2023
11060215195,W 850 S,M,S1400,001,18,2023
11060215179,W 750 S,M,S1400,001,18,2023
11060214944,W 100 S,M,S1400,001,18,2023
11060214993,W 200 S,M,S1400,001,18,2023
11060215205,W 900 S,M,S1400,001,18,2023
11060215189,W 800 S,M,S1400,001,18,2023
11060215180,W 750 S,M,S1400,001,18,2023
1106049363850,W 850 S,M,S1400,001,18,2023
11060215036,W 300 S,M,S1400,001,18,2023
11060215258,W 1150 S,M,S1400,001,18,2023
11060215230,W 1000 S,M,S1400,001,18,2023
11060215105,W 500 S,M,S1400,001,18,2023
11060215231,W 1000 S,M,S1400,001,18,2023
11060215125,Co Rd 600 S,C,S1200,001,18,2023
11060215267,Co Rd 1200 S,C,S1400,001,18,2023
11060214888,Co Rd 10 S,C,S1400,001,18,2023
11060215078,Co Rd 450 S,C,S1400,001,18,2023
11060215107,Co Rd 550 S,C,S1400,001,18,2023
11060215269,Co Rd 1200 S,C,S1400,001,18,2023
11060215126,Co Rd 600 S,C,S1200,001,18,2023
11060215255,Co Rd 1150 S,C,S1400,001,18,2023
11060214886,Co Rd 10 S,C,S1400,001,18,2023
11060215268,Co Rd 1200 S,C,S1400,001,18,2023
11060214887,Co Rd 10 S,C,S1400,001,18,2023
11060214885,Co Rd 10 S,C,S1400,001,18,2023
11060215001,220 S,M,S1400,001,18,2023
11060214900,US Hwy 27 S,U,S1200,001,18,2023
11060215207,Co Rd 950 S,C,S1400,001,18,2023
11060215093,N 500 E,M,S1400,001,18,2023
11076240270,N 800 E,M,S1400,001,18,2023
11060215092,N 500 E,M,S1200,001,18,2023
11060214933,N 100 E,M,S1400,001,18,2023
11076240268,N 800 E,M,S1400,001,18,2023
11060215024,N 300 E,M,S1400,001,18,2023
11060215025,N 300 E,M,S1400,001,18,2023
11060215128,N 600 E,M,S1400,001,18,2023
11060215023,N 300 E,M,S1400,001,18,2023
11077488282,N 800 E,M,S1400,001,18,2023
11060214932,N 100 E,M,S1400,001,18,2023
11060215129,N 600 E,M,S1400,001,18,2023
11060215142,N 650 E,M,S1400,001,18,2023
11060214980,N 200 E,M,S1400,001,18,2023
1106087452190,N 700 E,M,S1400,001,18,2023
11060215141,N 650 E,M,S1400,001,18,2023
11060215059,N 400 E,M,S1200,001,18,2023
11060215009,N 250 E,M,S1400,001,18,2023
11060214981,N 200 E,M,S1400,001,18,2023
11060214960,N 125 E,M,S1400,001,18,2023
11060215063,S 400 E,M,S1400,001,18,2023
11060215039,S 350 E,M,S1400,001,18,2023
11060215152,S 675 E,M,S1400,001,18,2023
11060215040,S 350 E,M,S1400,001,18,2023
11060214986,S 200 E,M,S1400,001,18,2023
1108475840263,S 75 E,M,S1400,001,18,2023
11060214889,S 25 E,M,S1400,001,18,2023
11060215065,S 400 E,M,S1400,001,18,2023
1103716765306,S 700 E,M,S1400,001,18,2023
11060215081,S 450 E,M,S1400,001,18,2023
11060215029,S 300 E,M,S1400,001,18,2023
11060215041,S 350 E,M,S1400,001,18,2023
11060215085,S 475 E,M,S1400,001,18,2023
11060214966,S 150 E,M,S1400,001,18,2023
11060214938,S 100 E,M,S1400,001,18,2023
11060215064,S 400 E,M,S1400,001,18,2023
11060215030,S 300 E,M,S1400,001,18,2023
11060214962,S 125 E,M,S1400,001,18,2023
11060215096,S 500 E,M,S1400,001,18,2023
11060215110,S 550 E,M,S1400,001,18,2023
11060215131,S 600 E,M,S1400,001,18,2023
11060215165,S 700 E,M,S1400,001,18,2023
11060215170,S 700 E,M,S1400,001,18,2023
11060215168,S 700 E,M,S1400,001,18,2023
11060215133,S 600 E,M,S1400,001,18,2023
11060215109,S 550 E,M,S1400,001,18,2023
11060214914,S 50 E,M,S1400,001,18,2023
11060215016,S 275 E,M,S1400,001,18,2023
11060214936,S 100 E,M,S1400,001,18,2023
11060215167,S 700 E,M,S1400,001,18,2023
110509971138,S County Line Rd E,M,S1400,001,18,2023
1103716765307,S 700 E,M,S1400,001,18,2023
11060215132,S 600 E,M,S1400,001,18,2023
11060214937,S 100 E,M,S1400,001,18,2023
11060214967,S 150 E,M,S1400,001,18,2023
11060214939,S 100 E,M,S1400,001,18,2023
11076240277,S 800 E,M,S1400,001,18,2023
11060215097,S 500 E,M,S1400,001,18,2023
11060215106,S 525 E,M,S1400,001,18,2023
11060215011,S 250 E,M,S1400,001,18,2023
11060214987,S 200 E,M,S1400,001,18,2023
11060214915,S 50 E,M,S1400,001,18,2023
11076240278,S 800 E,M,S1400,001,18,2023
11060215145,S 650 E,M,S1400,001,18,2023
11076240280,S 800 E,M,S1400,001,18,2023
11060215095,S 500 E,M,S1400,001,18,2023
1108475877537,S 225 E,M,S1400,001,18,2023
1106087001637,S 800 E,M,S1400,001,18,2023
1105061328596,W 50 E,M,S1400,001,18,2023
11060214963,Co Rd 129 E,C,S1400,001,18,2023
11060215054,Co Rd 400 E,C,S1400,001,18,2023
11076239933,State Rd 218 E,S,S1200,001,18,2023
11060215185,Co Rd 800 E,C,S1400,001,18,2023
110434972306,Co Rd 700 E,C,S1400,001,18,2023
11060215160,Co Rd 700 E,C,S1400,001,18,2023
11060214926,Co Rd 99 E,C,S1400,001,18,2023
11060214925,Co Rd 75 E,C,S1400,001,18,2023
1103716765302,Co Rd 700 E,C,S1400,001,18,2023
1105059925324,700 E,M,S1400,001,18,2023
11060214979,Co Rd 200 E,C,S1400,001,18,2023
11060215022,Co Rd 300 E,C,S1400,001,18,2023
110434972303,Co Rd 700 E,C,S1400,001,18,2023
1105061290816,700 E,M,S1400,001,18,2023
11060214949,Co Rd 109 E,C,S1400,001,18,2023
11060215007,Co Rd 225 E,C,S1400,001,18,2023
11060215021,300 E,M,S1400,001,18,2023
1103716765298,700 E,M,S1400,001,18,2023
11060215055,Co Rd 400 E,C,S1400,001,18,2023
110455195828,Co Rd 700 E,C,S1400,001,18,2023
11060215127,Co Rd 600 E,C,S1400,001,18,2023
11060215056,Co Rd 400 E,C,S1400,001,18,2023
11060215047,Co Rd 375 E,C,S1400,001,18,2023
11060215057,Co Rd 400 E,C,S1400,001,18,2023
1103716765303,Co Rd 700 E,C,S1400,001,18,2023
11060215163,N 700 W,M,S1400,001,18,2023
11060214985,N 200 W,M,S1400,001,18,2023
11060215060,N 400 W,M,S1400,001,18,2023
11060214983,N 200 W,M,S1400,001,18,2023
11060215010,N 250 W,M,S1400,001,18,2023
11060215038,N 350 W,M,S1400,001,18,2023
11060215143,N 650 W,M,S1400,001,18,2023
11060215062,N 400 W,M,S1400,001,18,2023
11060214984,N 200 W,M,S1400,001,18,2023
11060215061,N 400 W,M,S1400,001,18,2023
1106092825350,N 100 W,M,S1400,001,18,2023
11060215144,N 650 W,M,S1400,001,18,2023
11060214961,N 125 W,M,S1400,001,18,2023
11060215164,N 700 W,M,S1400,001,18,2023
11060215130,N 600 W,M,S1400,001,18,2023
11033373471002,N 300 W,M,S1400,001,18,2023
11060214982,N 200 W,M,S1400,001,18,2023
