LINEARID,FULLNAME,RTTYP,MTFCC,COUNTYFP,STATE_ID,YEAR
110194902512,Old Hwy 169,M,S1400,001,20,2023
110194902510,Old Hwy 169,M,S1400,001,20,2023
110194902511,Old Hwy 169,M,S1400,001,20,2023
110194904287,Garfield Rd N,M,S1400,001,20,2023
110194903946,Walnut Rd E,M,S1400,001,20,2023
110194903965,Alamosa Cir E,M,S1400,001,20,2023
110194903967,Alamosa Cir W,M,S1400,001,20,2023
110194904373,Nebraska Rd SE,M,S1400,001,20,2023
110194903455,N McRae St,M,S1400,001,20,2023
110194904260,N Crawford St,M,S1400,001,20,2023
110194903948,N Walnut St,M,S1400,001,20,2023
110194902654,N 7th St,M,S1400,001,20,2023
110194902924,N 10th St,M,S1400,001,20,2023
110194902588,N 3rd St,M,S1400,001,20,2023
110194902584,N 3rd St,M,S1400,001,20,2023
110194902976,N 16th St,M,S1400,001,20,2023
110194902962,N 15th St,M,S1400,001,20,2023
110194904043,N Colborn St,M,S1400,001,20,2023
110194904421,N Jefferson Ave,M,S1400,001,20,2023
110194903814,N Locust St,M,S1400,001,20,2023
110194904251,N Chestnut St,M,S1400,001,20,2023
110194903186,N Main St,M,S1400,001,20,2023
110194904165,N Osborne St,M,S1400,001,20,2023
110194902605,N 4th St,M,S1400,001,20,2023
110194904423,N Jefferson Ave,M,S1400,001,20,2023
110194904393,N Sycamore Rd,M,S1400,001,20,2023
110194902858,N Elm St,M,S1400,001,20,2023
1106049361542,N Jefferson Ave,M,S1400,001,20,2023
110194904453,N Tennessee St,M,S1400,001,20,2023
110194903920,N Spruce St,M,S1400,001,20,2023
1103869062924,N Ceadar St,M,S1200,001,20,2023
110194903080,N Daly St,M,S1400,001,20,2023
110194903931,N Taylor St,M,S1400,001,20,2023
110194903843,N Martin St,M,S1400,001,20,2023
1106049361694,N 8th St,M,S1400,001,20,2023
1106087309012,N 9th St,M,S1400,001,20,2023
110194902959,N 14th St,M,S1400,001,20,2023
110194904490,N Industrial Rd,M,S1400,001,20,2023
1106049365291,N Washington St,M,S1400,001,20,2023
110194902526,N 1st St,M,S1400,001,20,2023
110194904492,N Industrial Rd,M,S1400,001,20,2023
110194904101,N Holiday Ln,M,S1400,001,20,2023
1103942520786,N Cedar St,M,S1200,001,20,2023
110194902936,N 11th St,M,S1400,001,20,2023
1106087328508,N Kentucky St,M,S1400,001,20,2023
110194902906,N Oak St,M,S1400,001,20,2023
1106049361720,N Washington Ave,M,S1400,001,20,2023
110194903202,N Park St,M,S1400,001,20,2023
110194903197,N Ohio St,M,S1400,001,20,2023
110194902562,N 2nd St,M,S1400,001,20,2023
1103827771564,N Gas St,M,S1400,001,20,2023
110194904313,N Kentucky St,M,S1400,001,20,2023
110194904259,N Crawford St,M,S1400,001,20,2023
110194902432,N 13 St,M,S1400,001,20,2023
110194902563,N 2nd St,M,S1400,001,20,2023
1103731167270,N Linn St,M,S1400,001,20,2023
1103731269133,N Birch St,M,S1400,001,20,2023
110194904184,N Stanley St,M,S1400,001,20,2023
110194902561,N 2nd St,M,S1400,001,20,2023
110194902934,N 11th St,M,S1400,001,20,2023
110194902625,N 5th St,M,S1400,001,20,2023
110194904252,N Chestnut St,M,S1400,001,20,2023
1103942520764,N Pine St,M,S1400,001,20,2023
1103827762878,N Birch St,M,S1400,001,20,2023
1106049361571,N High St,M,S1400,001,20,2023
110194903334,N Wall St,M,S1400,001,20,2023
110194902935,N 11th St,M,S1400,001,20,2023
110194902946,N 12th St,M,S1400,001,20,2023
110194902951,N 13th St,M,S1400,001,20,2023
110194902606,N 4th St,M,S1400,001,20,2023
110194902638,N 6th St,M,S1400,001,20,2023
110194902639,N 6th St,M,S1400,001,20,2023
110194904491,N Industrial Rd,M,S1400,001,20,2023
1106087307849,N Cottonwood St,M,S1400,001,20,2023
110194904395,N Sycamore St,M,S1400,001,20,2023
110194903167,N High St,M,S1400,001,20,2023
110194904042,N Colborn St,M,S1400,001,20,2023
110194902857,N Elm St,M,S1400,001,20,2023
110194904186,N Vermont St,M,S1400,001,20,2023
110194904067,N Funston St,M,S1400,001,20,2023
110194903201,N Park St,M,S1400,001,20,2023
110194902963,N 15th St,M,S1400,001,20,2023
110194903518,N State St,M,S1400,001,20,2023
110194903947,N Walnut St,M,S1400,001,20,2023
110194903986,N Buckeye St,M,S1400,001,20,2023
110194902587,N 3rd St,M,S1400,001,20,2023
1106087307844,S McRae St,M,S1400,001,20,2023
110194902667,S 8th St,M,S1400,001,20,2023
