LINEARID,FULLNAME,RTTYP,MTFCC,COUNTYFP,STATE_ID,YEAR
1101790206653,Legislative Rd Exd,M,S1400,001,24,2023
1103672898593,Watercliff St Exd,M,S1400,001,24,2023
1101790203819,Park St Exd,M,S1400,001,24,2023
1101790204783,Sunset Dr Exd,M,S1400,001,24,2023
1101790205157,Oaklawn Ave Exd,M,S1400,001,24,2023
1101790203860,Ross St Exd,M,S1400,001,24,2023
1101790204357,Bowery St Exd,M,S1400,001,24,2023
1104486392999,US Hwy 40 Alt,U,S1200,001,24,2023
1101790203456,US Hwy 40 Alt,U,S1200,001,24,2023
1101790203459,US Hwy 40 Alt,U,S1200,001,24,2023
1101790203457,US Hwy 40 Alt,U,S1200,001,24,2023
1106255610180,US Hwy 40 Alt,U,S1200,001,24,2023
1101790203455,US Hwy 40 Alt,U,S1200,001,24,2023
1104486440657,US Hwy 40 Scn,U,S1200,001,24,2023
1102186519138,Alt Hill Ln SW,M,S1400,001,24,2023
1101790203708,Alt Hill Ln,M,S1400,001,24,2023
1101790205043,Old Hancock Rd NE,M,S1400,001,24,2023
1104271217491,Old Mount Pleasant Rd NE,M,S1400,001,24,2023
1102831914993,Old Valley Rd NE,M,S1400,001,24,2023
1101790206310,Old Cumberland Rd NE,M,S1400,001,24,2023
1101790204403,Old Church Ln NE,M,S1400,001,24,2023
1101790205881,Old Williams Rd NE,M,S1400,001,24,2023
1101790203914,Old Adams Rd NE,M,S1400,001,24,2023
1101790205397,Old Bearcamp Rd NE,M,S1400,001,24,2023
1102831914994,Old Valley Rd NE,M,S1400,001,24,2023
1104260213667,Old Mt Pleasant Rd NE,M,S1400,001,24,2023
1105646773853,Old Mount Savage Rd NW,M,S1400,001,24,2023
1101790206728,Old Stone House Rd NW,M,S1400,001,24,2023
1101790204737,Old School Rd NW,M,S1400,001,24,2023
1102213201933,Old Williams Rd SE,M,S1400,001,24,2023
1101790205171,Old Oldtown Rd SE,M,S1400,001,24,2023
1102213201932,Old Williams Rd SE,M,S1400,001,24,2023
1102638610958,Old Willow Brook Rd SE,M,S1400,001,24,2023
1101790206198,Old Toms Hill Rd SE,M,S1400,001,24,2023
1101790205170,Old Oldtown Rd SE,M,S1400,001,24,2023
1109097586219,Old Dans Rock Rd SW,M,S1400,001,24,2023
1101790205602,Old Loartown Rd SW,M,S1400,001,24,2023
1101790204641,Old Miller Rd SW,M,S1400,001,24,2023
1101790203744,Old Lake Dr SW,M,S1400,001,24,2023
1102213190784,Old Legislative Rd SW,M,S1400,001,24,2023
1101790204956,Old Country Rd SW,M,S1400,001,24,2023
1101790205787,Old Reynolds Rd SW,M,S1400,001,24,2023
1109097641312,Old Coney Cemetery Rd SW,M,S1400,001,24,2023
1101790206304,Old Cresaptown Rd SW,M,S1400,001,24,2023
1106255610688,Old Beechwood Rd SW,M,S1400,001,24,2023
1105646773593,Old Legislative Rd SW,M,S1400,001,24,2023
