LINEARID,FULLNAME,RTTYP,MTFCC,COUNTYFP,STATE_ID,YEAR
1103729355868,Dr Lord's Rd S Exd,M,S1400,001,25,2023
110467103413,N Shore Blvd Exd,M,S1400,001,25,2023
110467110971,Redwood Ln Exd,M,S1400,001,25,2023
1107061712704,Pine Ln Exd,M,S1400,001,25,2023
110467122177,High School Rd Exd,M,S1400,001,25,2023
1103255048762,Beach Ave Exd,M,S1400,001,25,2023
110467126093,Lakewood Cir Exd,M,S1400,001,25,2023
1104297312722,Eldridge St Exd,M,S1400,001,25,2023
110467123249,Wood Valley Rd Exd,M,S1400,001,25,2023
110467123733,Forest Beach Rd Exd,M,S1400,001,25,2023
110467113175,Fox Hill Rd Exd,M,S1400,001,25,2023
110467119563,Davisville Rd Exd,M,S1400,001,25,2023
110467103398,Shore Rd Exd,M,S1400,001,25,2023
110467112319,Bradford St Exd,M,S1200,001,25,2023
110467124868,Ploughed Neck Rd Exd,M,S1400,001,25,2023
1103600965134,Jarves St Exd,M,S1400,001,25,2023
110467099468,Lake Dr Exd,M,S1400,001,25,2023
110467120248,Meadowview Rd Exd,M,S1400,001,25,2023
110467112317,Bradford St Exd,M,S1200,001,25,2023
110467112318,Bradford St Exd,M,S1200,001,25,2023
110467124867,Ploughed Neck Rd Exd,M,S1400,001,25,2023
110467099006,Dale Ter Exd,M,S1400,001,25,2023
110467177131,Horseshoe Way Exd,M,S1400,001,25,2023
1103308089150,Ridge St Exd,M,S1400,001,25,2023
110467116464,Cranberry Rd Exd,M,S1400,001,25,2023
1102639190743,Eldridge Ave Exd,M,S1400,001,25,2023
110467117106,Homestead Rd Exd,M,S1400,001,25,2023
110467099022,Dean Rd Exd,M,S1400,001,25,2023
110467120023,Horse Shoe Exd,M,S1400,001,25,2023
1103225991503,Oak St Exd,M,S1400,001,25,2023
1104692267327,Shore Rd Exd,M,S1400,001,25,2023
110467103174,Ridge St Exd,M,S1400,001,25,2023
1103942597533,Browns Neck Rd Exd,M,S1400,001,25,2023
110467110031,Lincoln Rd Exd,M,S1400,001,25,2023
110467117490,Maravista Ave Exd,M,S1400,001,25,2023
110467121764,Club Valley Dr Exd,M,S1400,001,25,2023
1103358764075,Lovers Ln Exd,M,S1400,001,25,2023
110467124279,Pleasant Bay Rd Exd,M,S1400,001,25,2023
110467099706,Main St Exd,M,S1400,001,25,2023
110467118431,Ships Way Rd Exd,M,S1400,001,25,2023
110467100505,Wood Ave Exd,M,S1400,001,25,2023
110467113198,Franklin St Exd,M,S1400,001,25,2023
110467098572,Sea St Exd,M,S1400,001,25,2023
110467124351,Scraggy Neck Rd Exd,M,S1400,001,25,2023
1102641017672,Dayna Ln Exd,M,S1400,001,25,2023
110467112054,Barcliff Ave Exd,M,S1400,001,25,2023
110467100506,Wood Ave Exd,M,S1400,001,25,2023
110467116484,Crestview Dr Exd,M,S1400,001,25,2023
1107061670865,Pine Ln Exd,M,S1400,001,25,2023
110467113178,Fox Hill Rd Exd,M,S1400,001,25,2023
110467111285,Seaview Ter Exd,M,S1400,001,25,2023
110467113176,Fox Hill Rd Exd,M,S1400,001,25,2023
1103225991499,Trotting Park Exd,M,S1400,001,25,2023
1103636767531,Bay Rd Exd,M,S1400,001,25,2023
110467112320,Bradford St Exd,M,S1200,001,25,2023
110467114470,Pleasant St Exd,M,S1400,001,25,2023
1106087435450,Brown's Neck Rd Exd,M,S1400,001,25,2023
1107061712703,Pine Ln Exd,M,S1400,001,25,2023
110467113177,Fox Hill Rd Exd,M,S1400,001,25,2023
110467107847,Youngs Rd Exd,M,S1400,001,25,2023
110467116631,Duck Pond Rd Exd,M,S1400,001,25,2023
110467100056,Old Pine Trl Exn,M,S1400,001,25,2023
110467102324,Kibby Ln Exn,M,S1400,001,25,2023
110467105600,Horton Way Exn,M,S1400,001,25,2023
110467102827,Ocean St Exn,M,S1400,001,25,2023
110467124987,Trotting Park Rd Exn,M,S1400,001,25,2023
110467117600,Mayflower Rd Exn,M,S1400,001,25,2023
1105598226962,Shore Rd Exn,M,S1400,001,25,2023
