LINEARID,FULLNAME,RTTYP,MTFCC,COUNTYFP,STATE_ID,YEAR
1103938196156,Old Mount Maria Rd,M,S1400,001,26,2023
110688469130,Old Hardy Grade,M,S1400,001,26,2023
110688468851,Old Tr Rd,M,S1400,001,26,2023
1103752505566,Old Shore Dr,M,S1400,001,26,2023
1106087870933,Old Shore Rd,M,S1400,001,26,2023
110688469244,Old Trail Rd,M,S1400,001,26,2023
1103669558379,Old Trail Rd,M,S1400,001,26,2023
110688469221,Old State Rd,M,S1400,001,26,2023
110688469904,Timberland Blvd N,M,S1400,001,26,2023
110688469965,Timberlakes Blvd W,M,S1400,001,26,2023
1104454275534,N Huron Rd,M,S1200,001,26,2023
110688469230,N Stout Rd,M,S1400,001,26,2023
110688468993,N Lake Trl,M,S1740,001,26,2023
1102289429875,N McConnell Rd,M,S1400,001,26,2023
110688468855,N 1st St,M,S1400,001,26,2023
110688469488,N Coville Rd,M,S1400,001,26,2023
110688470065,N Lake Huron Shore Dr,M,S1400,001,26,2023
110688469487,N Coville Rd,M,S1400,001,26,2023
110688469504,N Everett Rd,M,S1400,001,26,2023
110688469200,N Skeel Rd,M,S1400,001,26,2023
1102778009843,N Aspen Alley Rd,M,S1400,001,26,2023
1102161662390,N Labonte Rd,M,S1400,001,26,2023
110688469204,N Skeel Rd,M,S1500,001,26,2023
110688468989,N Lake Rd,M,S1400,001,26,2023
110688468986,N Lake Dr,M,S1400,001,26,2023
110688468985,N Lake Dr,M,S1400,001,26,2023
110688468987,N Lake Dr,M,S1740,001,26,2023
110688468869,N 6th St,M,S1400,001,26,2023
1105598231228,N Lake Huron Shore Dr,M,S1400,001,26,2023
110688470064,N Lake Huron Shore Dr,M,S1400,001,26,2023
110688469493,N Cutting St,M,S1400,001,26,2023
110688469762,N Bean Hill Rd,M,S1400,001,26,2023
110688469766,N Briardale Ct,M,S1400,001,26,2023
1106073059260,N Huron,M,S1200,001,26,2023
110688469201,N Skeel Rd,M,S1400,001,26,2023
110688469936,N Curtisville Rd,M,S1400,001,26,2023
110688468992,N Lake Trl,M,S1400,001,26,2023
110688469903,N Timberlake Blvd,M,S1400,001,26,2023
110688468864,N 5th St,M,S1400,001,26,2023
1102638593807,N 3rd St,M,S1400,001,26,2023
110688469707,N McGregor Rd,M,S1400,001,26,2023
110688469822,N Poor Farm Rd,M,S1400,001,26,2023
1102161663497,N Daytona Dr,M,S1400,001,26,2023
1103730538436,N Lake Shore Dr,M,S1400,001,26,2023
1102161662542,N Raymond Rd,M,S1400,001,26,2023
110688469422,N Spruce Rd,M,S1400,001,26,2023
110688468991,N Lake Trl,M,S1400,001,26,2023
110688469966,N Timberlakes Blvd,M,S1400,001,26,2023
1102638581952,N Barlow Rd,M,S1400,001,26,2023
110688468854,N 1st St,M,S1400,001,26,2023
110688468871,N 8th St,M,S1400,001,26,2023
110688469320,N Forest Trl,M,S1400,001,26,2023
1102161662306,N Caledonia St,M,S1400,001,26,2023
110688468857,N 2nd St,M,S1400,001,26,2023
110688469872,N Lake Huron Rd,M,S1400,001,26,2023
1104468669042,N Huron Rd,M,S1200,001,26,2023
110688470062,N Lake Huron Shore Dr,M,S1400,001,26,2023
110688470069,N Lake Huron Shore Dr,M,S1400,001,26,2023
1102161659100,N Alpine Ct,M,S1400,001,26,2023
110688470670,N Wintergreen Trl,M,S1400,001,26,2023
1102638577876,N Hubbard Lake Rd,M,S1400,001,26,2023
110688468990,N Lake St,M,S1400,001,26,2023
110688470066,N Lake Huron Shore Dr,M,S1400,001,26,2023
1102161658910,N White Birch Dr,M,S1400,001,26,2023
110688469997,N Hubbard Lake Rd,M,S1400,001,26,2023
110688470068,N Lake Huron Shore Dr,M,S1400,001,26,2023
110688469203,N Skeel Rd,M,S1500,001,26,2023
1104468667746,N State St,M,S1200,001,26,2023
110688469596,N Sleeper Dr,M,S1400,001,26,2023
110688469595,N Sleeper Dr,M,S1400,001,26,2023
110688469229,N Stout Rd,M,S1400,001,26,2023
1103718139045,N Lakeshore Dr,M,S1400,001,26,2023
110688469202,N Skeel Rd,M,S1400,001,26,2023
1103404446263,N McKinley Rd,M,S1400,001,26,2023
110688469273,N Barlow Rd,M,S1400,001,26,2023
110688469199,N Skeel Rd,M,S1400,001,26,2023
110688468988,N Lake Rd,M,S1400,001,26,2023
110688468865,N 5th St,M,S1400,001,26,2023
1102638593808,N 3rd St,M,S1400,001,26,2023
110688468870,N 7th St,M,S1400,001,26,2023
110688469887,N Mill Creek Rd,M,S1400,001,26,2023
11033373604979,N Everett Rd,M,S1400,001,26,2023
1106092770423,N Little Brook Dr,M,S1400,001,26,2023
1104448454598,N Curran Rd,M,S1200,001,26,2023
110688469844,S Alcona Dam Rd,M,S1400,001,26,2023
110688469225,S State Rd,M,S1200,001,26,2023
1102638579189,S Barlow Rd,M,S1400,001,26,2023
110688469708,S McGregor Rd,M,S1400,001,26,2023
110688469946,S Huron Shore Dr,M,S1200,001,26,2023
110688469234,S Stout Rd,M,S1400,001,26,2023
110688469763,S Bean Hill Rd,M,S1400,001,26,2023
110688469321,S Forest Trl,M,S1400,001,26,2023
110688469348,S Kaiser Rd,M,S1400,001,26,2023
110688469283,S Branch Rd,M,S1400,001,26,2023
110688469226,S State St,M,S1200,001,26,2023
1102161657091,S King Rd,M,S1400,001,26,2023
1106092821080,S Lake Huron Shore Rd,M,S1400,001,26,2023
110688469506,S Everett Rd,M,S1400,001,26,2023
110688469823,S Poor Farm Rd,M,S1400,001,26,2023
110688469232,S Stout Rd,M,S1400,001,26,2023
110688469233,S Stout Rd,M,S1400,001,26,2023
110688469277,S Barlow Rd,M,S1400,001,26,2023
110688469150,S Huron Dr,M,S1200,001,26,2023
110688469163,S Maple Rd,M,S1400,001,26,2023
1106087697408,S Vaughn Lake Rd,M,S1400,001,26,2023
1109076024853,S US Hwy 23,U,S1200,001,26,2023
1103730538666,S McConnell Rd,M,S1400,001,26,2023
110688469231,S Stout Rd,M,S1400,001,26,2023
110688469973,S Vaughn Lake Rd,M,S1400,001,26,2023
110688469275,S Barlow Rd,M,S1400,001,26,2023
110688469730,S Stockton Rd,M,S1400,001,26,2023
110688469300,S Church St,M,S1400,001,26,2023
1102161661592,S O Donnell Rd,M,S1400,001,26,2023
110688469767,S Briardale Ct,M,S1400,001,26,2023
110688469551,S Michael Dr,M,S1400,001,26,2023
110688469967,S Timberlakes Blvd,M,S1400,001,26,2023
110688468863,S 4th St,M,S1400,001,26,2023
110688469489,S Coville Rd,M,S1400,001,26,2023
1102161659541,S Lake Huron Shore Dr,M,S1400,001,26,2023
110688469235,S Stout Rd,M,S1400,001,26,2023
110688469605,S Timothy Trl,M,S1400,001,26,2023
110688468858,S 2nd St,M,S1400,001,26,2023
110688468861,S 3rd St,M,S1400,001,26,2023
110688470000,S Hubbard Lake Rd,M,S1400,001,26,2023
1106087701375,S Sturgeon Pt Rd,M,S1400,001,26,2023
1102638580155,S Branch Rd,M,S1400,001,26,2023
1103718143412,S Huron Shores Dr,M,S1200,001,26,2023
1102161662830,S London Rd,M,S1400,001,26,2023
1102638580154,S Branch Rd,M,S1400,001,26,2023
1104271370494,E County Line Rd,M,S1400,001,26,2023
1103928203911,E Harbor Dr,M,S1400,001,26,2023
110688469535,E Jackson St,M,S1400,001,26,2023
110688469373,E Millen St,M,S1400,001,26,2023
1104271370493,E County Line Rd,M,S1400,001,26,2023
1102161662468,E Huron Dr,M,S1400,001,26,2023
1102289388282,E Spruce Rd,M,S1400,001,26,2023
110688469913,E Trask Lake Rd,M,S1400,001,26,2023
110688469481,E Clemens Rd,M,S1400,001,26,2023
11010936317331,E Main St,M,S1400,001,26,2023
110688469338,E Hawley St,M,S1400,001,26,2023
110688469301,E Church St,M,S1400,001,26,2023
110688469544,E Madison St,M,S1400,001,26,2023
110688469456,E Walker Rd,M,S1400,001,26,2023
110688470055,E Mikado-Glennie Rd,M,S1400,001,26,2023
110688469210,E Smith Rd,M,S1400,001,26,2023
110688469326,E Fowler Rd,M,S1400,001,26,2023
110688469050,E Pine St,M,S1400,001,26,2023
110688468922,E Dean Rd,M,S1400,001,26,2023
110688469457,E Walker Rd,M,S1400,001,26,2023
1102289298792,E Mikado Rd,M,S1400,001,26,2023
110688469327,E Fowler Rd,M,S1400,001,26,2023
1102289298812,E Mikado Rd,M,S1400,001,26,2023
1102835180885,E Procunier Rd,M,S1400,001,26,2023
110688469025,E Main St,M,S1400,001,26,2023
1102835177472,E Jefferson St,M,S1400,001,26,2023
1102777926562,E Jefferson St,M,S1400,001,26,2023
1103764219179,E Merrick Dr,M,S1400,001,26,2023
110688469912,E Trask Lake Rd,M,S1400,001,26,2023
1106087704201,E Black River Rd,M,S1400,001,26,2023
1102289388252,E Spruce Rd,M,S1400,001,26,2023
