LINEARID,FULLNAME,RTTYP,MTFCC,COUNTYFP,STATE_ID,YEAR
1103690798005,Country Ln Exn,M,S1400,001,27,2023
110560312671,Dnr Public Acc,M,S1400,001,27,2023
110560303434,Twp Rd 13 Acc,O,S1400,001,27,2023
1106087913246,Old 27 Rd,M,S1400,001,27,2023
1105059833583,Old Cty Rd 23,M,S1400,001,27,2023
110560303525,Old Co Rd 53,C,S1400,001,27,2023
1103598464109,Old Starry Lk Rd,M,S1400,001,27,2023
110560312584,Old Lily Pond Rd,M,S1400,001,27,2023
1103660206793,Old Hwy 2,M,S1400,001,27,2023
1106088080595,Old Minn Taunk Hwy No 2,M,S1400,001,27,2023
1105002754087,Old Hwy 2,M,S1400,001,27,2023
1102289890207,Old Dump Rd,M,S1400,001,27,2023
1102289890214,Old Dump Rd,M,S1400,001,27,2023
110560303462,Old Hwy 23,M,S1400,001,27,2023
1105061308979,Old Minn Trunk,M,S1400,001,27,2023
1104468786587,Old Hwy 27,M,S1400,001,27,2023
110560312968,Old Minn Taunk Hwy No 2,M,S1400,001,27,2023
110560312843,Pub Water Access Rd,M,S1400,001,27,2023
110560312844,Pub Water Access Rd,M,S1400,001,27,2023
110560312842,Pub Water Access Rd,M,S1400,001,27,2023
110560312841,Pub Water Access Rd,M,S1400,001,27,2023
110560311955,Cedar St N,M,S1400,001,27,2023
110560312601,Minnesota Ave N,M,S1400,001,27,2023
110560312600,Minnesota Ave N,M,S1200,001,27,2023
110560312509,Tingdale St N,M,S1400,001,27,2023
1105061331491,T405 N,M,S1400,001,27,2023
1103945104697,275th Pl N,M,S1400,001,27,2023
1103928619105,Central St N,M,S1400,001,27,2023
110560303690,1st St N,M,S1400,001,27,2023
1103762023993,Warren St N,M,S1400,001,27,2023
1102167288517,Alice St N,M,S1400,001,27,2023
1106087422112,Elm St N,M,S1400,001,27,2023
110560303754,2nd St N,M,S1400,001,27,2023
110560312159,Church St N,M,S1400,001,27,2023
1104992849638,Water St N,M,S1400,001,27,2023
1106092823330,Main St N,M,S1400,001,27,2023
