LINEARID,FULLNAME,RTTYP,MTFCC,COUNTYFP,STATE_ID,YEAR
1104475035034,US Hwy 63 Bus,U,S1200,001,29,2023
110272976877,Old Hazel Creek Church Rd,M,S1400,001,29,2023
110272973652,Old Hwy 6,M,S1400,001,29,2023
1106087318398,Old Hwy 63,M,S1400,001,29,2023
1106087915080,Old Hwy 6,M,S1400,001,29,2023
110272973657,Old State Hwy 6,S,S1400,001,29,2023
110272974721,Grim Ct N,M,S1400,001,29,2023
110272974723,Grim Ct S,M,S1400,001,29,2023
110272973850,Co Rd 161 E,C,S1400,001,29,2023
110272975340,Maple St NE,M,S1400,001,29,2023
110272974817,Pine St NE,M,S1400,001,29,2023
110272975342,Maple St SE,M,S1400,001,29,2023
110272974819,Pine St SW,M,S1400,001,29,2023
110272974701,N East St,M,S1400,001,29,2023
1102281516426,N Florence St,M,S1400,001,29,2023
110272975951,N Mulanix St,M,S1400,001,29,2023
110272974782,N Main St,M,S1400,001,29,2023
110272976128,N Franklin St,M,S1400,001,29,2023
110272975588,N Marion St,M,S1200,001,29,2023
1102281514962,N Centennial St,M,S1400,001,29,2023
110272975745,N Walnut St,M,S1400,001,29,2023
110272975321,N James St,M,S1400,001,29,2023
110272974284,N Don St,M,S1400,001,29,2023
110272976115,N Florence St,M,S1400,001,29,2023
110272975274,N Edgar St,M,S1400,001,29,2023
110272975583,N Luther St,M,S1400,001,29,2023
1102281502901,N New St,M,S1400,001,29,2023
110272976114,N Florence St,M,S1400,001,29,2023
110272974283,N Don St,M,S1400,001,29,2023
110272975950,N Mulanix St,M,S1400,001,29,2023
110272974309,N New Pl,M,S1400,001,29,2023
110272975559,N Jasper St,M,S1400,001,29,2023
110272974325,N Oak Ln,M,S1400,001,29,2023
1102281514963,N Centennial St,M,S1400,001,29,2023
1102281512741,N Lewis St,M,S1400,001,29,2023
110272975353,N Olive St,M,S1400,001,29,2023
110272974734,N John St,M,S1400,001,29,2023
1102629956031,N Kimberling Dr,M,S1400,001,29,2023
110272975558,N Jasper St,M,S1400,001,29,2023
11012813384395,N Lincoln St,M,S1400,001,29,2023
11012813384396,N Lincoln St,M,S1400,001,29,2023
1106072574510,N Lincoln St,M,S1400,001,29,2023
110272974294,N Ely St,M,S1400,001,29,2023
110272975590,N Marion St,M,S1400,001,29,2023
1102164109952,N Centennial Ave,M,S1400,001,29,2023
110272975949,N Mulanix St,M,S1400,001,29,2023
110272974314,N New St,M,S1400,001,29,2023
110272974740,N King St,M,S1400,001,29,2023
110272976112,N Florence Pl,M,S1400,001,29,2023
1102281516425,N Florence St,M,S1400,001,29,2023
110272975511,N Decker Rd,M,S1400,001,29,2023
110272975743,N Walnut St,M,S1400,001,29,2023
110272975744,N Walnut St,M,S1400,001,29,2023
110272975485,N Church St,M,S1400,001,29,2023
110272974324,N Oak Ln,M,S1400,001,29,2023
110272975253,N Davis St,M,S1400,001,29,2023
110272974312,N New St,M,S1400,001,29,2023
1102281512742,N Lewis St,M,S1400,001,29,2023
110272976040,N Bradford St,M,S1400,001,29,2023
110272975548,N Hollis Way,M,S1400,001,29,2023
110272975961,N Oakland Ave,M,S1400,001,29,2023
110272974781,N Main St,M,S1400,001,29,2023
110272975303,N Green St,M,S1400,001,29,2023
110272975948,N Mulanix St,M,S1400,001,29,2023
110272974702,N East St,M,S1400,001,29,2023
1106092768877,N Baltimore St,M,S1200,001,29,2023
11012813188263,N Cottage Grove Ave,M,S1400,001,29,2023
110272975300,N Green St,M,S1200,001,29,2023
110272974780,N Main St,M,S1400,001,29,2023
1102281502902,N New St,M,S1400,001,29,2023
1108310833545,N Baltimore St,M,S1400,001,29,2023
110272975801,N Chicago Ave,M,S1400,001,29,2023
1106072566124,N Osteopathy,M,S1400,001,29,2023
110272975582,N Luther St,M,S1400,001,29,2023
110272975276,N Elson St,M,S1400,001,29,2023
110272974725,N High St,M,S1400,001,29,2023
110272976035,N Boundary St,M,S1400,001,29,2023
110272976551,N Centennial Ave,M,S1400,001,29,2023
110272975581,N Luther St,M,S1400,001,29,2023
110272975526,N Eugene St,M,S1400,001,29,2023
110272974807,N Omar Dr,M,S1400,001,29,2023
110272975953,S Mulanix St,M,S1400,001,29,2023
110272975331,S Lewis St,M,S1400,001,29,2023
110272976042,S Bradford St,M,S1400,001,29,2023
1102281502152,S Baltimore St,M,S1200,001,29,2023
1102281512774,S Sheridan St,M,S1400,001,29,2023
110272975907,S Jamison St,M,S1400,001,29,2023
1106072569121,S First St,M,S1400,001,29,2023
110272976300,S Sheridan St,M,S1400,001,29,2023
1102281502771,S Halliburton St,M,S1400,001,29,2023
110272976117,S Florence St,M,S1400,001,29,2023
110272975839,S Downing St,M,S1400,001,29,2023
110272976039,S Boundary St,M,S1400,001,29,2023
1102629957140,S Kimberling Dr,M,S1400,001,29,2023
11012159508528,S Baltimore St,M,S1200,001,29,2023
110272974298,S Ely St,M,S1400,001,29,2023
1102281516308,S Riggen St,M,S1400,001,29,2023
1103676955350,S Riggen St,M,S1400,001,29,2023
1103689935074,S Sheridan St,M,S1400,001,29,2023
1103973124876,S King St,M,S1400,001,29,2023
1103781335923,S Jasper St,M,S1400,001,29,2023
1106072574149,S Elson St,M,S1400,001,29,2023
110272975591,S Marion St,M,S1400,001,29,2023
110272976309,S Stanford St,M,S1400,001,29,2023
1106092773424,S 1st St,M,S1400,001,29,2023
1103689935073,S Sheridan St,M,S1400,001,29,2023
1102281512775,S Sheridan St,M,S1400,001,29,2023
110272974728,S High St,M,S1400,001,29,2023
1102281516309,S Riggen St,M,S1400,001,29,2023
110272975401,S Still St,M,S1400,001,29,2023
1103479154349,S Franklin St,M,S1400,001,29,2023
110272974709,S Fork Way,M,S1400,001,29,2023
1106072573646,S Jasper St,M,S1400,001,29,2023
110272974706,S East St,M,S1400,001,29,2023
110272974727,S High St,M,S1400,001,29,2023
110272976794,S Cottage Grove Ave,M,S1400,001,29,2023
110272976603,S Osteopathy,M,S1400,001,29,2023
1102638605386,S 6th St,M,S1400,001,29,2023
1102638606874,S Fourth St,M,S1400,001,29,2023
110272975403,S Still St,M,S1400,001,29,2023
1106087317137,S Orchard St,M,S1400,001,29,2023
110272975487,S Church St,M,S1400,001,29,2023
1102281512865,S Franklin St,M,S1200,001,29,2023
110272975256,S Davis St,M,S1400,001,29,2023
110272974299,S Ely St,M,S1400,001,29,2023
110272975282,S Fible St,M,S1400,001,29,2023
1106087798770,S Fifth St,M,S1400,001,29,2023
1102638605399,S 4th St,M,S1400,001,29,2023
110272975655,S Porter St,M,S1400,001,29,2023
110272975550,S Hollis Way,M,S1400,001,29,2023
110272975962,S Orchard St,M,S1400,001,29,2023
110272975736,S Wabash St,M,S1400,001,29,2023
