LINEARID,FULLNAME,RTTYP,MTFCC,COUNTYFP,STATE_ID,YEAR
1104475406282,US Hwy 50 Alt,U,S1200,001,32,2023
1102334817928,US Hwy 95 Alt,U,S1100,001,32,2023
1102649736712,US Hwy 95 Alt,U,S1100,001,32,2023
1104471142156,US Hwy 50 Alt,U,S1200,001,32,2023
110492225489,Old Overland Rd,M,S1400,001,32,2023
1104476955519,Old Overland Rd,M,S1400,001,32,2023
1104476955518,Old Overland Rd,M,S1400,001,32,2023
110492224869,Old River Rd,M,S1400,001,32,2023
110492224977,Old Carson Hwy,M,S1400,001,32,2023
110492224919,Alpine E,M,S1400,001,32,2023
11015682028778,Rio Vista Dr W,M,S1400,001,32,2023
110492225655,Rio Vista Dr W,M,S1400,001,32,2023
110492225656,Rio Vista Rd W,M,S1400,001,32,2023
110492224768,N Crook Rd,M,S1400,001,32,2023
110492225405,N Broadway St,M,S1400,001,32,2023
110492224717,N Allen St,M,S1400,001,32,2023
110492224930,N Bailey St,M,S1400,001,32,2023
1102909285445,N Maine St,M,S1200,001,32,2023
1104484116153,N Taylor St,M,S1200,001,32,2023
110492225358,N Sherman St,M,S1400,001,32,2023
1102909285486,N Maine St,M,S1200,001,32,2023
110492225107,N Nevada St,M,S1400,001,32,2023
110492225162,N Taylor St,M,S1400,001,32,2023
1106087890198,N Allen Rd,M,S1400,001,32,2023
110492224787,N Downs Ln,M,S1400,001,32,2023
110492224618,N East St,M,S1400,001,32,2023
110492225349,N Russell St,M,S1400,001,32,2023
110492224535,N Ada St,M,S1400,001,32,2023
110492225299,N Laverne St,M,S1400,001,32,2023
110492224978,N Carson St,M,S1400,001,32,2023
110492225039,N Harmon Rd,M,S1400,001,32,2023
110492225406,N Broadway St,M,S1400,001,32,2023
1102156886110,N Maine St,M,S1200,001,32,2023
1104484231829,S Maine St,M,S1400,001,32,2023
110492224619,S East St,M,S1400,001,32,2023
110492225040,S Harmon Rd,M,S1400,001,32,2023
110492225109,S Nevada St,M,S1400,001,32,2023
110492225110,S Nevada St,M,S1400,001,32,2023
1102909406690,S Taylor St,M,S1200,001,32,2023
110492224718,S Allen St,M,S1400,001,32,2023
110492224537,S Ada St,M,S1400,001,32,2023
110492224931,S Bailey St,M,S1400,001,32,2023
110492224979,S Carson St,M,S1400,001,32,2023
110492225009,S E Park St,M,S1400,001,32,2023
110492225010,S E Park St,M,S1400,001,32,2023
110492225359,S Sherman St,M,S1400,001,32,2023
110492224770,S Crook Rd,M,S1400,001,32,2023
1104484231830,S Maine St,M,S1400,001,32,2023
1102909406698,S Taylor St,M,S1200,001,32,2023
110492225300,S Laverne St,M,S1400,001,32,2023
110492224788,S Downs Ln,M,S1400,001,32,2023
11033373623327,S Russell St,M,S1400,001,32,2023
1104484231986,S Taylor St,M,S1200,001,32,2023
1104484231831,S Maine St,M,S1400,001,32,2023
110492225407,S Broadway St,M,S1400,001,32,2023
110492225179,S W Park St,M,S1400,001,32,2023
110492225095,S McLean St,M,S1400,001,32,2023
110492225753,E Stillwater Ave,M,S1400,001,32,2023
110492225495,E Richards St,M,S1400,001,32,2023
110492224655,E Park St,M,S1400,001,32,2023
110492224656,E Park St,M,S1400,001,32,2023
110492224807,E Front St,M,S1400,001,32,2023
110492224455,E B St,M,S1400,001,32,2023
1102909403685,E Williams Ave,M,S1200,001,32,2023
110492225553,E Virginia St,M,S1400,001,32,2023
110492225552,E Virginia St,M,S1400,001,32,2023
110492225172,E Valley Rd,M,S1400,001,32,2023
110492224983,E Center St,M,S1400,001,32,2023
110492224982,E Center St,M,S1400,001,32,2023
110492225247,E Corkill Ln,M,S1400,001,32,2023
110492225426,E Fairview St,M,S1400,001,32,2023
1102909403707,E Williams Ave,M,S1200,001,32,2023
1102909403666,E Williams Ave,M,S1200,001,32,2023
110492224453,E A St,M,S1400,001,32,2023
110492224454,W A St,M,S1400,001,32,2023
1102909506494,W B St,M,S1400,001,32,2023
110492225754,W Stillwater Ave,M,S1400,001,32,2023
110492225427,W Fairview St,M,S1400,001,32,2023
1102909413526,W D St,M,S1400,001,32,2023
110492225498,W Richards St,M,S1400,001,32,2023
110492225249,W Country Rd,M,S1400,001,32,2023
1106092751483,W Williams Ave,M,S1200,001,32,2023
110492224985,W Center St,M,S1400,001,32,2023
110492224657,W Park St,M,S1400,001,32,2023
110492225497,W Richards St,M,S1400,001,32,2023
110492224529,W 4th St,M,S1400,001,32,2023
110492225248,W Corkill Ln,M,S1400,001,32,2023
110492224990,W County Rd,M,S1400,001,32,2023
110492224525,W 1st St,M,S1400,001,32,2023
1102909506499,W B St,M,S1400,001,32,2023
1106087389314,W Williams Ave,M,S1200,001,32,2023
110492224530,W 5th St,M,S1400,001,32,2023
110492224808,W Front St,M,S1400,001,32,2023
1102909413525,W D St,M,S1400,001,32,2023
11015489284065,NA,NA,S1400,001,32,2023
110492236267,NA,NA,S1400,001,32,2023
11020008688452,NA,NA,S1400,001,32,2023
1104468926227,US Hwy 95,U,S1200,001,32,2023
1103730545297,I- 80,I,S1100,001,32,2023
110492235721,Frontage Rd,M,S1400,001,32,2023
11015791856225,NA,NA,S1400,001,32,2023
110492234663,NA,NA,S1400,001,32,2023
110492234659,NA,NA,S1400,001,32,2023
110492236238,NA,NA,S1400,001,32,2023
11021366314663,NA,NA,S1400,001,32,2023
11012814356810,NA,NA,S1400,001,32,2023
110492234774,NA,NA,S1400,001,32,2023
110492224854,North Rd,M,S1400,001,32,2023
110492237500,NA,NA,S1400,001,32,2023
11021366314652,NA,NA,S1400,001,32,2023
11015489282064,NA,NA,S1400,001,32,2023
110492233509,NA,NA,S1400,001,32,2023
11019642410708,NA,NA,S1400,001,32,2023
110492236208,NA,NA,S1400,001,32,2023
11015503928978,NA,NA,S1400,001,32,2023
11015503928954,NA,NA,S1400,001,32,2023
1103963345324,Duffy Rd,M,S1400,001,32,2023
110492235530,NA,NA,S1400,001,32,2023
110492235531,NA,NA,S1400,001,32,2023
11020008687785,NA,NA,S1400,001,32,2023
11015503928981,NA,NA,S1400,001,32,2023
11020008687780,NA,NA,S1400,001,32,2023
11019642410668,NA,NA,S1400,001,32,2023
11015503976207,NA,NA,S1400,001,32,2023
11021366315088,NA,NA,S1400,001,32,2023
11021366315087,NA,NA,S1400,001,32,2023
110492233984,NA,NA,S1400,001,32,2023
11020008688018,NA,NA,S1400,001,32,2023
11015791856111,NA,NA,S1400,001,32,2023
11021366289375,NA,NA,S1400,001,32,2023
110492234588,NA,NA,S1400,001,32,2023
110492234225,NA,NA,S1400,001,32,2023
110492234087,NA,NA,S1400,001,32,2023
110492234003,NA,NA,S1400,001,32,2023
11020008688022,NA,NA,S1400,001,32,2023
1104468826148,US Hwy 50,U,S1200,001,32,2023
110492237558,NA,NA,S1500,001,32,2023
11015489283832,NA,NA,S1400,001,32,2023
110492235230,NA,NA,S1400,001,32,2023
1106092781361,Alpine Rd,M,S1400,001,32,2023
110492236643,NA,NA,S1400,001,32,2023
110492236648,NA,NA,S1400,001,32,2023
11012159550317,NA,NA,S1400,001,32,2023
110492236923,NA,NA,S1400,001,32,2023
1104470589026,NA,NA,S1400,001,32,2023
110492235333,NA,NA,S1400,001,32,2023
110492235215,NA,NA,S1400,001,32,2023
11012814357783,NA,NA,S1400,001,32,2023
1104257624781,NA,NA,S1400,001,32,2023
1104257624782,NA,NA,S1400,001,32,2023
11012814356993,NA,NA,S1400,001,32,2023
110492236420,NA,NA,S1400,001,32,2023
1102281567660,NA,NA,S1400,001,32,2023
1102217500301,NA,NA,S1400,001,32,2023
1104470498231,NA,NA,S1400,001,32,2023
110492225056,Hunter Rd,M,S1400,001,32,2023
110492235528,NA,NA,S1400,001,32,2023
11015489283991,NA,NA,S1400,001,32,2023
11012159569198,NA,NA,S1400,001,32,2023
11015489283998,NA,NA,S1400,001,32,2023
110492236661,NA,NA,S1400,001,32,2023
1102156924615,Turn Ln,M,S1640,001,32,2023
11015489282300,NA,NA,S1400,001,32,2023
110492235030,NA,NA,S1400,001,32,2023
110492234942,NA,NA,S1400,001,32,2023
1102909159877,NA,NA,S1400,001,32,2023
110492234983,NA,NA,S1400,001,32,2023
11012159513348,NA,NA,S1400,001,32,2023
11012814357625,NA,NA,S1400,001,32,2023
1104258606094,NA,NA,S1400,001,32,2023
110492234746,NA,NA,S1400,001,32,2023
110492234393,NA,NA,S1400,001,32,2023
110492234917,NA,NA,S1400,001,32,2023
110492237364,NA,NA,S1400,001,32,2023
110492237360,NA,NA,S1400,001,32,2023
110492233841,NA,NA,S1400,001,32,2023
1102909159833,NA,NA,S1400,001,32,2023
110492235237,NA,NA,S1400,001,32,2023
1108311019823,NA,NA,S1400,001,32,2023
110492225304,Mallard,M,S1400,001,32,2023
1104476656992,NA,NA,S1400,001,32,2023
110492236964,NA,NA,S1400,001,32,2023
11012814357835,NA,NA,S1400,001,32,2023
110492235203,NA,NA,S1400,001,32,2023
11012814357838,NA,NA,S1400,001,32,2023
110492235815,NA,NA,S1400,001,32,2023
11012159569232,NA,NA,S1400,001,32,2023
110492235759,NA,NA,S1400,001,32,2023
110492234936,NA,NA,S1400,001,32,2023
110492234914,NA,NA,S1400,001,32,2023
110492234915,NA,NA,S1400,001,32,2023
110492235724,NA,NA,S1400,001,32,2023
110492225734,Portuguese Ln,M,S1400,001,32,2023
110492234360,NA,NA,S1400,001,32,2023
110492235689,NA,NA,S1400,001,32,2023
110492234073,NA,NA,S1400,001,32,2023
110492235072,NA,NA,S1400,001,32,2023
110492236582,NA,NA,S1400,001,32,2023
1104258597041,NA,NA,S1400,001,32,2023
11015692385337,NA,NA,S1400,001,32,2023
11015692385517,NA,NA,S1400,001,32,2023
110492236286,NA,NA,S1400,001,32,2023
110492236342,NA,NA,S1400,001,32,2023
110492237641,NA,NA,S1500,001,32,2023
1104257625726,NA,NA,S1400,001,32,2023
110492235579,NA,NA,S1400,001,32,2023
11015692385333,NA,NA,S1400,001,32,2023
1102841265074,NA,NA,S1400,001,32,2023
