LINEARID,FULLNAME,RTTYP,MTFCC,COUNTYFP,STATE_ID,YEAR
110430324714,Cologne-Port Republic Rd Exn,M,S1400,001,34,2023
11012812000700,Co Rd 561 Alt,C,S1400,001,34,2023
110430289306,Co Rd 561 Alt,C,S1400,001,34,2023
110430289281,Co Rd 559 Alt,C,S1400,001,34,2023
110430289307,Co Rd 561 Alt,C,S1400,001,34,2023
110430289308,Co Rd 561 Alt,C,S1400,001,34,2023
110430324800,Atl City Express-Brigantine Con,M,S1200,001,34,2023
1106087911778,Atlantic City Expressway-Brigantine Con,M,S1400,001,34,2023
110430293196,Old Zion Rd,M,S1400,001,34,2023
110430295962,Old Shore Rd,M,S1400,001,34,2023
110430289457,Old 5th St,M,S1400,001,34,2023
110430295760,Old River Rd,M,S1400,001,34,2023
110430319139,Old Egg Harbor Rd,M,S1400,001,34,2023
110430293197,Old Zion Rd,M,S1400,001,34,2023
110430298227,Old Landis Ave,M,S1400,001,34,2023
110430320532,Old Mays Landing Rd,M,S1400,001,34,2023
1106040440365,Old Baker Rd,M,S1400,001,34,2023
110430320530,Old Mays Landing Rd,M,S1200,001,34,2023
110430294439,Old Forks Rd,M,S1400,001,34,2023
110430293195,Old Zion Rd,M,S1400,001,34,2023
110430320534,Old Mays Landing Rd,M,S1400,001,34,2023
1106092741135,Old Port Republic Rd,M,S1400,001,34,2023
110430316768,Old New York Rd,M,S1400,001,34,2023
110430319138,Old Egg Harbor Rd,M,S1400,001,34,2023
1106092743945,Old Egg Harbor Rd,M,S1400,001,34,2023
110430316767,Old New York Rd,M,S1400,001,34,2023
110430296164,Old Stage Rd,M,S1400,001,34,2023
110430294493,Old Glory Rd,M,S1400,001,34,2023
110430295758,Old River Rd,M,S1400,001,34,2023
110430320533,Old Mays Landing Rd,M,S1400,001,34,2023
1106040445660,Old Egg Harbor Rd,M,S1400,001,34,2023
110430292237,Old Fork Rd,M,S1400,001,34,2023
110430304236,Old Harding Hwy,M,S1400,001,34,2023
110430294533,Grand St N,M,S1400,001,34,2023
110430289872,9th St N,M,S1400,001,34,2023
110430310476,Puritan Dr N,M,S1400,001,34,2023
110430311369,Cavesson Dr N,M,S1400,001,34,2023
110430287958,2nd St N,M,S1400,001,34,2023
110430290763,12th St N,M,S1400,001,34,2023
110430289204,4th St N,M,S1400,001,34,2023
110430289731,7th St N,M,S1400,001,34,2023
110430303621,Chukker Ct N,M,S1400,001,34,2023
110430290685,11th St N,M,S1400,001,34,2023
110430310899,Village Dr N,M,S1400,001,34,2023
110430289443,5th St N,M,S1400,001,34,2023
110430290806,13th St N,M,S1400,001,34,2023
110430318621,Priscilla Ln N,M,S1400,001,34,2023
110430319657,Washington St N,M,S1400,001,34,2023
110430298596,Monroe Ave N,M,S1400,001,34,2023
110430289645,6th St N,M,S1400,001,34,2023
1106044233796,14th St N,M,S1400,001,34,2023
110430289078,3rd St N,M,S1400,001,34,2023
110430290619,10th St N,M,S1400,001,34,2023
110430289800,8th St N,M,S1400,001,34,2023
110430304643,Madison Ave N,M,S1400,001,34,2023
110430291246,34th St S,M,S1400,001,34,2023
110430290916,16th St S,M,S1400,001,34,2023
110430290958,18th St S,M,S1400,001,34,2023
110430289801,8th St S,M,S1400,001,34,2023
