LINEARID,FULLNAME,RTTYP,MTFCC,COUNTYFP,STATE_ID,YEAR
110789277388,Old Niskayuna Rd Exd,M,S1400,001,36,2023
110789273118,Everett Rd Exd,M,S1400,001,36,2023
110789279043,Lawson Lake Rd Exd,M,S1400,001,36,2023
110789275032,Columbia St Exd,M,S1200,001,36,2023
110789254239,Curry Rd Exd,M,S1400,001,36,2023
110789254237,Curry Rd Exd,M,S1400,001,36,2023
110789239632,Co Rd 352 Exd,C,S1400,001,36,2023
110789244694,Elm Ave Exd,M,S1400,001,36,2023
110789280104,Deer Mountain Rd Exd,M,S1400,001,36,2023
110789274301,Simmons Ave Exd,M,S1400,001,36,2023
110789242869,3rd St Exd,M,S1400,001,36,2023
110789255476,Vliet Blvd Exd,M,S1400,001,36,2023
110789245217,Gulf Rd Exd,M,S1400,001,36,2023
110789244112,Co Rd 402 Exd,C,S1400,001,36,2023
110789254865,Maple Ave Exd,M,S1400,001,36,2023
110789273117,Everett Rd Exd,M,S1400,001,36,2023
110789273742,Manning Blvd Exd,M,S1400,001,36,2023
110789254118,Bronk Rd Exd,M,S1400,001,36,2023
110789272668,Bennett Ct Exd,M,S1400,001,36,2023
110789276386,Westerlo St Exd,M,S1400,001,36,2023
1103348775733,Wade Rd Exd,M,S1400,001,36,2023
1103669312691,Wade Rd Exd,M,S1400,001,36,2023
110789254864,Maple Ave Exd,M,S1400,001,36,2023
1106092749734,Echo Pt Exd,M,S1400,001,36,2023
110789244696,Elm Ln Exd,M,S1400,001,36,2023
110789278805,Watervliet Ave Exd,M,S1400,001,36,2023
110789273705,Madison Ave Exd,M,S1400,001,36,2023
1103979841145,Mountain Rd Exd,M,S1400,001,36,2023
110789254950,Nolan Rd Exd,M,S1400,001,36,2023
110789276005,Railroad Ave Exd,M,S1400,001,36,2023
110789275237,Exchange St Exd,M,S1400,001,36,2023
110789245051,Cole Rd Exd,M,S1400,001,36,2023
110789278856,Albany Hill Exd,M,S1400,001,36,2023
110789245483,Mare Ln Exd,M,S1400,001,36,2023
110789271716,Rarick Rd Exd,M,S1400,001,36,2023
110789273093,Elsmere Ave Exd,M,S1400,001,36,2023
1104486676576,Ny St Thruway Berkshire Exd,M,S1200,001,36,2023
110789273088,Elmwood Rd Exd,M,S1400,001,36,2023
110789273116,Everett Rd Exd,M,S1400,001,36,2023
110789278885,Buckhorn Mt Rd Exd,M,S1400,001,36,2023
110789280611,Johnny Cake Hill Rd Exd,M,S1400,001,36,2023
110789278780,Washington Ave Exd,M,S1400,001,36,2023
110789273203,Frisbee Ave Exd,M,S1400,001,36,2023
110789275975,Prospect Ave Exd,M,S1400,001,36,2023
110789277960,Brookhaven Dr Exd,M,S1400,001,36,2023
110789245484,Mare Ln Exd,M,S1400,001,36,2023
110789277338,McCulloch Ave Exd,M,S1400,001,36,2023
110789254117,Bronk Rd Exd,M,S1400,001,36,2023
1103689575398,Maple Ave Exd,M,S1400,001,36,2023
110789274133,Pearson Rd Exd,M,S1400,001,36,2023
110789254982,North St Exd,M,S1400,001,36,2023
110789254116,Bronk Rd Exd,M,S1400,001,36,2023
110789244918,24th St Exd,M,S1400,001,36,2023
110789255059,Petra Ln Exd,M,S1400,001,36,2023
110789276693,Broderick St Exd,M,S1400,001,36,2023
110789254866,Maple Ave Exd,M,S1400,001,36,2023
110789276130,Severson Ave Exd,M,S1400,001,36,2023
110789254238,Curry Rd Exd,M,S1400,001,36,2023
110789265544,Kenyon Rd Exd,M,S1400,001,36,2023
110789255802,Bridle Path Exn,M,S1400,001,36,2023
1103578311857,Ridge Ln Exn,M,S1400,001,36,2023
110789265795,Martin Rd Exn,M,S1400,001,36,2023
1104259379184,Washington Ave Exn,M,S1400,001,36,2023
1104487292372,Slingerlands Byp,M,S1200,001,36,2023
1104487292377,Slingerlands Byp,M,S1200,001,36,2023
1104487274907,Slingerlands Byp,M,S1200,001,36,2023
1104487292379,Slingerlands Byp,M,S1200,001,36,2023
1104487292378,Slingerlands Byp,M,S1200,001,36,2023
1104487274385,Slingerlands Byp,M,S1200,001,36,2023
1104487292375,Slingerlands Byp,M,S1200,001,36,2023
1104487292373,Slingerlands Byp,M,S1200,001,36,2023
1103685974310,Slingerlands Byp,M,S1400,001,36,2023
1104487292374,Slingerlands Byp,M,S1200,001,36,2023
1104487292376,Slingerlands Byp,M,S1200,001,36,2023
1104487274384,Slingerlands Byp,M,S1200,001,36,2023
1104487584592,State Rte 85 Alt,S,S1200,001,36,2023
1104487584590,State Rte 85 Alt,S,S1200,001,36,2023
1104487584583,State Rte 85 Alt,S,S1200,001,36,2023
1104487584589,State Rte 85 Alt,S,S1200,001,36,2023
110789281065,State Rte 157 Alt,S,S1200,001,36,2023
1103554059975,Sparrowbush Rd Spr,M,S1400,001,36,2023
1103357512193,Kirkner Spr,M,S1400,001,36,2023
1108296487337,New York State Thruway Berkshire Con,M,S1100,001,36,2023
1108296489547,New York State Thruway Berkshire Con,M,S1100,001,36,2023
1103504848743,Williams St Pvt,M,S1400,001,36,2023
110789223431,Old Rte 9 W,O,S1400,001,36,2023
110789255046,Old S Pearl St,M,S1400,001,36,2023
110789223593,Old Rte 9w,O,S1400,001,36,2023
110789255583,Old Alcove Rd,M,S1400,001,36,2023
1103350425954,Old Indian Fields Rd,M,S1500,001,36,2023
1107052292298,Old Watervliet Shaker Rd,M,S1710,001,36,2023
110789277171,Old Homestead Dr,M,S1400,001,36,2023
110789245166,Old Farm Rd,M,S1400,001,36,2023
110789245167,Old Farm Rd,M,S1400,001,36,2023
110789277377,Old Niskayuna Rd,M,S1400,001,36,2023
110789265911,Old Mohawk Pl,M,S1400,001,36,2023
110789271820,Old School Rd,M,S1400,001,36,2023
110789271717,Old Ravena Rd,M,S1400,001,36,2023
110789255145,Old River Rd,M,S1400,001,36,2023
110789277380,Old Niskayuna Rd,M,S1400,001,36,2023
110789248856,Old Birch Ln,M,S1400,001,36,2023
1103689660007,Old Albany Shaker Rd,M,S1400,001,36,2023
110789277371,Old New Salem Rd,M,S1400,001,36,2023
110789269253,Old Quarry Rd,M,S1400,001,36,2023
110789275358,Old Glenmont Rd,M,S1200,001,36,2023
110789223597,Old Ox Rd,M,S1400,001,36,2023
1103090360559,Old State Rd,M,S1400,001,36,2023
1106087419042,Old Karner Rd,M,S1400,001,36,2023
1103689658923,Old Watervliet Shaker Rd,M,S1400,001,36,2023
110789273425,Old Hickory Dr,M,S1400,001,36,2023
110789246252,Old Town Rd,M,S1400,001,36,2023
110789272851,Old Clapper Rd,M,S1400,001,36,2023
1103676572799,Old Gedney Hill Rd,M,S1400,001,36,2023
110789277378,Old Niskayuna Rd,M,S1400,001,36,2023
110789244845,Old Valley Rd,M,S1400,001,36,2023
110789279389,Old Sparrowbush Rd,M,S1400,001,36,2023
110789264746,Old Karner Rd,M,S1400,001,36,2023
110789265700,Old Loudon Rd,M,S1400,001,36,2023
1105599198940,Old Maxwell Rd,M,S1400,001,36,2023
110789281009,Old Krum Kill Rd,M,S1400,001,36,2023
110789275359,Old Glenmont Rd,M,S1400,001,36,2023
1106087853715,Old Watervliet Shaker Rd,M,S1400,001,36,2023
110789277379,Old Niskayuna Rd,M,S1400,001,36,2023
110789254921,Old Myers Dr,M,S1400,001,36,2023
110789255822,Old Carman Rd,M,S1400,001,36,2023
110789255303,Old Stage Rd,M,S1400,001,36,2023
110789255302,Old Stage Rd,M,S1400,001,36,2023
110789281011,Old Krum Kill Rd,M,S1400,001,36,2023
110789248861,Old Birch Ln,M,S1400,001,36,2023
110789273103,Old English Rd,M,S1400,001,36,2023
110789275579,Old Krumkill Rd,M,S1400,001,36,2023
110789271822,Old School Rd,M,S1400,001,36,2023
110789265697,Old Loudon Rd,M,S1400,001,36,2023
110789280013,Old Albany Carman Rd,M,S1400,001,36,2023
110789255823,Old Carman Rd,M,S1400,001,36,2023
110789264745,Old Karner Rd,M,S1400,001,36,2023
110789255304,Old Stage Rd,M,S1400,001,36,2023
110789281010,Old Krum Kill Rd,M,S1400,001,36,2023
110789243855,Old Co Rd 401,C,S1400,001,36,2023
110789255333,Old State Rd,M,S1400,001,36,2023
110789271819,Old School Rd,M,S1400,001,36,2023
110789271821,Old School Rd,M,S1400,001,36,2023
110789275154,Old Delaware Ave,M,S1400,001,36,2023
110789265698,Old Loudon Rd,M,S1400,001,36,2023
110789265699,Old Loudon Rd,M,S1400,001,36,2023
110789223451,Pvt Rd C,M,S1740,001,36,2023
1103592345553,Pvt Drive Way,M,S1400,001,36,2023
1103555340982,Pvt Rd F,M,S1400,001,36,2023
1103592346956,Pvt Drive Way,M,S1400,001,36,2023
