LINEARID,FULLNAME,RTTYP,MTFCC,COUNTYFP,STATE_ID,YEAR
11033373408377,S 3rd St Exd,M,S1400,001,37,2023
11033373408345,S Third St Exd,M,S1400,001,37,2023
11033373408376,S 3rd St Exd,M,S1400,001,37,2023
11033373408346,S Third St Exd,M,S1400,001,37,2023
110167254722,Park Rd Exd,M,S1400,001,37,2023
110167259431,Myrtle Dr Exd,M,S1400,001,37,2023
1106092867075,Holt St Exd,M,S1400,001,37,2023
110167258337,Durham St Exd,M,S1400,001,37,2023
110167260230,Tucker St Exd,M,S1400,001,37,2023
11033373418085,S 3rd St Exn,M,S1400,001,37,2023
11033747079808,S 5th St Exn,M,S1400,001,37,2023
11033373418086,S 3rd St Exn,M,S1400,001,37,2023
11033747079807,S Fifth St Exn,M,S1400,001,37,2023
110167257296,Stone St Exn,M,S1400,001,37,2023
110167256486,Logan St Exn,M,S1400,001,37,2023
1105558962336,Cocoa Rd Lp,M,S1400,001,37,2023
1102780528385,Elon Byp,M,S1400,001,37,2023
110167275996,Old Stoney Mountain Rd,M,S1400,001,37,2023
1102159969879,Old Craig Ct,M,S1400,001,37,2023
110167258929,Old Ingold Trl,M,S1400,001,37,2023
110167254036,Old Farm Ct,M,S1400,001,37,2023
110167257053,Old Salem Ct,M,S1400,001,37,2023
110167275997,Old Stoney Mountain Rd,M,S1400,001,37,2023
110167255701,Old Coach Rd,M,S1400,001,37,2023
110167276426,Old Fields Blvd,M,S1400,001,37,2023
1102615269551,Old Well Dr,M,S1400,001,37,2023
1102615465367,Old Cherokee Ln,M,S1400,001,37,2023
110167271656,Old Greensboro Rd,M,S1400,001,37,2023
1103263196548,Old Carriage Ct,M,S1400,001,37,2023
110167254046,Old Farm Rd,M,S1400,001,37,2023
110167249413,Old 93 Rd,M,S1400,001,37,2023
110167274622,Old Switchboard Rd,M,S1400,001,37,2023
1102615318569,Old Carriage Ct,M,S1400,001,37,2023
110167264151,Old Alamance Rd,M,S1400,001,37,2023
110167257377,Old Trail Rd,M,S1400,001,37,2023
1103679179649,Old Plank Rd,M,S1400,001,37,2023
1103719122067,Old Charlestown Dr,M,S1400,001,37,2023
110167254045,Old Farm Rd,M,S1400,001,37,2023
1102615279024,Old Barn Trl,M,S1400,001,37,2023
1104769459573,Old Hillsborough Rd,M,S1400,001,37,2023
110167255243,Old Arbor Way,M,S1400,001,37,2023
1102159969819,Old Craig Trl,M,S1400,001,37,2023
110167262962,Old Orchard Ln,M,S1400,001,37,2023
110167250390,Old Dam Rd,M,S1400,001,37,2023
110167249057,Old State Hwy 87,S,S1400,001,37,2023
110167258924,Old Ingold Rd,M,S1400,001,37,2023
1103719122061,Old Charleston Dr,M,S1400,001,37,2023
110167248800,Old 87 Hwy,M,S1400,001,37,2023
110167272064,Old Plantation Dr,M,S1400,001,37,2023
1104769459566,Old Hillsborough Rd,M,S1400,001,37,2023
110167271870,Maury Arch N,M,S1400,001,37,2023
110167271607,Forestwood Ct N,M,S1400,001,37,2023
110167256744,Oneal Ave N,M,S1400,001,37,2023
110167260077,Sunset Dr S,M,S1400,001,37,2023
110167271875,Maury Arch S,M,S1400,001,37,2023
110167273087,Littlejohn Ln E,M,S1400,001,37,2023
1103489357725,Little John Ln W,M,S1400,001,37,2023
110167274519,Rollingwood Dr W,M,S1400,001,37,2023
1106087297502,N Manning Ave,M,S1400,001,37,2023
110167261603,N Fairway Dr,M,S1400,001,37,2023
110167256570,N Marye Dr,M,S1400,001,37,2023
1106092824208,N 3rd St,M,S1400,001,37,2023
110167270161,N Jim Minor Rd,M,S1400,001,37,2023
11033373417978,N Second St,M,S1400,001,37,2023
1102217223554,N Nc 49,M,S1200,001,37,2023
110167264354,N Beaumont Ave,M,S1400,001,37,2023
110167260534,N Anthony St,M,S1400,001,37,2023
110167272292,N Sunnybrook Dr,M,S1400,001,37,2023
110167256489,N Logan St,M,S1400,001,37,2023
110167260550,N Antioch Ave,M,S1400,001,37,2023
110167256787,N Paris St,M,S1400,001,37,2023
110167254897,N Rosa Ct,M,S1400,001,37,2023
110167255763,N Court St,M,S1400,001,37,2023
1106087302139,N 7th St,M,S1400,001,37,2023
1103690226105,N Fourth St,M,S1400,001,37,2023
110167257519,N Wilba Rd,M,S1400,001,37,2023
110167264263,N Aviation Dr,M,S1400,001,37,2023
110167258424,N Fisher St,M,S1200,001,37,2023
110167254548,N Main St,M,S1400,001,37,2023
110167253891,N Dale Ct,M,S1400,001,37,2023
110167254739,N Park Rd,M,S1400,001,37,2023
110167259334,N Mebane St,M,S1400,001,37,2023
110167275112,N Sellars Mill Rd,M,S1400,001,37,2023
110167249988,N 8th St,M,S1400,001,37,2023
11033373418344,N 1st St,M,S1400,001,37,2023
11033373418365,N First St,M,S1400,001,37,2023
110167257520,N Wilba Rd,M,S1400,001,37,2023
1103372785424,N Cornwallis Ct,M,S1400,001,37,2023
1102217223545,N Nc 49,M,S1400,001,37,2023
110167255485,N Broad St,M,S1400,001,37,2023
110167256976,N Ridge Rd,M,S1400,001,37,2023
110167254725,N Park Ave,M,S1400,001,37,2023
110167255752,N Cosby Ct,M,S1400,001,37,2023
110167262296,N Ireland St,M,S1400,001,37,2023
110167257248,N Spray Pl,M,S1400,001,37,2023
110167260462,N Wyrick St,M,S1400,001,37,2023
110167250696,N Lee Ave,M,S1400,001,37,2023
110167250770,N Oak Ave,M,S1400,001,37,2023
110167258133,N Church St,M,S1200,001,37,2023
110167274555,N Sellar Mill Rd,M,S1400,001,37,2023
110167260590,N Ashland Dr,M,S1400,001,37,2023
110167276102,N Preacher Roberson Rd,M,S1400,001,37,2023
11033373418041,N 2nd St,M,S1400,001,37,2023
1106087446445,N 9th St,M,S1400,001,37,2023
1103690225348,N 6th St,M,S1400,001,37,2023
11033373418330,N First St,M,S1400,001,37,2023
1103677208307,N Seventh St,M,S1400,001,37,2023
110167254550,N Main St,M,S1400,001,37,2023
110167254551,N Main St,M,S1400,001,37,2023
110167274556,N Sellar Mill Rd,M,S1400,001,37,2023
110167254549,N Main St,M,S1400,001,37,2023
110167266707,N Marshall St,M,S1400,001,37,2023
110167274554,N Sellar Mill Rd,M,S1400,001,37,2023
11033373418023,N 5th St,M,S1400,001,37,2023
1106067288780,N Third St,M,S1400,001,37,2023
1103690225245,N 4th St,M,S1400,001,37,2023
110167253801,N Carr St,M,S1400,001,37,2023
1104492838455,N 9th St,M,S1400,001,37,2023
110167272174,N Saint John St,M,S1400,001,37,2023
110167254228,N Holt Ave,M,S1400,001,37,2023
110167276420,N O'Kelly Ave,M,S1400,001,37,2023
1102615342214,N Nc 87 Hwy,M,S1400,001,37,2023
110167275114,N Sellars Mill Rd,M,S1400,001,37,2023
110167254543,N Main St,M,S1200,001,37,2023
110167275113,N Sellars Mill Rd,M,S1400,001,37,2023
11033373417791,N Fifth St,M,S1400,001,37,2023
1104492608462,N Ninth St,M,S1400,001,37,2023
110167260973,N Charles St,M,S1400,001,37,2023
110167254733,N Park Ct,M,S1400,001,37,2023
110167257276,N State St,M,S1400,001,37,2023
110167275866,N Graham Hopedale Rd,M,S1400,001,37,2023
110167275155,N Summit Ridge Rd,M,S1400,001,37,2023
1103677208474,N Fifth St,M,S1400,001,37,2023
1103690224814,N First St,M,S1400,001,37,2023
1103677208139,N Sixth St,M,S1400,001,37,2023
1102217223546,N Nc 49,M,S1200,001,37,2023
1102217223547,N Nc 49,M,S1200,001,37,2023
110167259957,N Spring St,M,S1400,001,37,2023
110167270562,N Riverview Dr,M,S1400,001,37,2023
110167263910,N Wilkins Rd,M,S1400,001,37,2023
110167272475,N Williamson Ave,M,S1400,001,37,2023
110167261602,N Fairway Dr,M,S1400,001,37,2023
110167256557,N Maple St,M,S1400,001,37,2023
