LINEARID,FULLNAME,RTTYP,MTFCC,COUNTYFP,STATE_ID,YEAR
110449185876,Old US Hwy 52,U,S1400,001,39,2023
110449188706,Old Cincinnati Pike,M,S1400,001,39,2023
110449187123,Old State Rd,M,S1400,001,39,2023
11010866086092,Old Dutch Rd,M,S1400,001,39,2023
110449186924,Old Dutch Rd,M,S1400,001,39,2023
110449185787,Old State Rte 32,S,S1400,001,39,2023
110449185830,Old State Rte 41,S,S1400,001,39,2023
110449186927,Old Dutch Rd,M,S1400,001,39,2023
1103690258469,Old State Rte 41,S,S1400,001,39,2023
110449186926,Old Dutch Rd,M,S1400,001,39,2023
110449186255,N 2nd St,M,S1400,001,39,2023
110449188962,N Linda Vista Dr,M,S1400,001,39,2023
110449186543,N East St,M,S1400,001,39,2023
110449186909,N Cross St,M,S1200,001,39,2023
110449186542,N East St,M,S1400,001,39,2023
110449188963,N Linda Vista Dr,M,S1400,001,39,2023
110449186647,N Main St,M,S1200,001,39,2023
110449187042,N Nixon Ave,M,S1400,001,39,2023
110449187992,N Wilson Dr,M,S1400,001,39,2023
110449186833,N West St,M,S1400,001,39,2023
110449187689,N Market St,M,S1400,001,39,2023
1106087892354,N Cherry St,M,S1400,001,39,2023
110449188478,N Pleasant St,M,S1400,001,39,2023
110449188394,N Hartford Ave,M,S1400,001,39,2023
110449186832,N West Ave,M,S1400,001,39,2023
110449188479,S Pleasant St,M,S1400,001,39,2023
110449187690,S Market St,M,S1400,001,39,2023
110449187993,S Wilson Dr,M,S1400,001,39,2023
110449188872,S Washington St,M,S1400,001,39,2023
110449186649,S Main St,M,S1200,001,39,2023
110449186834,S West Ave,M,S1400,001,39,2023
110449186256,S 2nd St,M,S1200,001,39,2023
110449187043,S Nixon Ave,M,S1400,001,39,2023
110449186544,S East St,M,S1400,001,39,2023
110449186835,S West St,M,S1400,001,39,2023
110449186910,S Cross St,M,S1400,001,39,2023
110449188757,S Manchester St,M,S1200,001,39,2023
110449188395,S Hartford Ave,M,S1400,001,39,2023
110449186530,S Down Rd,M,S1400,001,39,2023
110449187525,S Cherry St,M,S1400,001,39,2023
110449186258,E 2nd St,M,S1400,001,39,2023
110449186388,E 8th St,M,S1400,001,39,2023
110449186946,E Front St,M,S1400,001,39,2023
110449188459,E Mulberry St,M,S1400,001,39,2023
110449187804,E Sparks St,M,S1400,001,39,2023
110449186374,E 6th St,M,S1400,001,39,2023
110449186651,E Main St,M,S1200,001,39,2023
110449188281,E Wildcat Rd,M,S1400,001,39,2023
110449186362,E 5th St,M,S1400,001,39,2023
110449186947,E Front St,M,S1400,001,39,2023
110449186349,E 4th St,M,S1400,001,39,2023
110449187978,E Walnut St,M,S1400,001,39,2023
110449187118,E South St,M,S1400,001,39,2023
110449187051,E North St,M,S1400,001,39,2023
110449186257,E 2nd St,M,S1200,001,39,2023
110449187119,E South St,M,S1400,001,39,2023
110449186296,E 3rd St,M,S1400,001,39,2023
110449186348,E 4th St,M,S1400,001,39,2023
110449186381,E 7th St,M,S1400,001,39,2023
110449186299,E 3rd St,M,S1400,001,39,2023
110449186259,E 2nd St,M,S1400,001,39,2023
110449186373,E 6th St,M,S1400,001,39,2023
110449186298,E 3rd St,M,S1400,001,39,2023
110449186350,E 4th St,M,S1400,001,39,2023
110449186363,E 5th St,M,S1400,001,39,2023
110449186393,E 9th St,M,S1400,001,39,2023
110449186948,W Front St,M,S1400,001,39,2023
110449187120,W South St,M,S1400,001,39,2023
110449186556,W Fork Rd,M,S1400,001,39,2023
110449186652,W Main St,M,S1200,001,39,2023
110449187052,W North St,M,S1400,001,39,2023
110449188530,W Sycamore St,M,S1400,001,39,2023
1104755818102,W Broadway St,M,S1400,001,39,2023
110449187979,W Walnut St,M,S1400,001,39,2023
110449186382,W 7th St,M,S1400,001,39,2023
110449187805,W Sparks St,M,S1400,001,39,2023
110449186302,W 3rd St,M,S1400,001,39,2023
110449187030,W Moore St,M,S1400,001,39,2023
110449186260,W 2nd St,M,S1200,001,39,2023
110449186364,W 5th St,M,S1400,001,39,2023
110449186375,W 6th St,M,S1400,001,39,2023
110449186351,W 4th St,M,S1400,001,39,2023
110449186389,W 8th St,M,S1400,001,39,2023
110449186261,W 2nd St,M,S1400,001,39,2023
110449186352,W 4th St,M,S1400,001,39,2023
1104755885603,W Mulberry St,M,S1400,001,39,2023
1103343485616,W Washington St,M,S1400,001,39,2023
110449186653,NE Main St,M,S1200,001,39,2023
110449185847,Co Rd 45,C,S1400,001,39,2023
110449186084,Co Rd 15C,C,S1400,001,39,2023
110449187280,Twp Hwy T-247,O,S1400,001,39,2023
110449187228,Twp Hwy T-193,O,S1400,001,39,2023
110449186859,Baird Rd,M,S1400,001,39,2023
110449187820,Stoney Rd,M,S1400,001,39,2023
110449187854,Twp Hwy T-120A,O,S1400,001,39,2023
110449187849,Twp Hwy T-118A,O,S1400,001,39,2023
110449188750,Louisville Rd,M,S1400,001,39,2023
110449188109,Hedrick Rd,M,S1400,001,39,2023
110449187278,Twp Hwy T-245,O,S1400,001,39,2023
110449187358,Twp Hwy T-418,O,S1400,001,39,2023
110449187691,Martin Rd,M,S1400,001,39,2023
110449187526,Church Rd,M,S1400,001,39,2023
110449191482,NA,NA,S1400,001,39,2023
110449187861,Twp Hwy T-125A,O,S1400,001,39,2023
110449186620,Lois Rd,M,S1400,001,39,2023
110449187310,Twp Hwy T-279,O,S1400,001,39,2023
110449187242,Twp Hwy T-206,O,S1400,001,39,2023
110449188325,Chambers Rd,M,S1400,001,39,2023
110449187848,Twp Hwy T-113B,O,S1400,001,39,2023
110449188879,Williamson Rd,M,S1400,001,39,2023
110449188248,Smalley Rd,M,S1400,001,39,2023
110449191228,NA,NA,S1400,001,39,2023
110449188208,Purcell Rd,M,S1400,001,39,2023
1103661514008,NA,NA,S1400,001,39,2023
110449188841,Tobe Lewis Rd,M,S1400,001,39,2023
110449185638,Co Rd 9,C,S1400,001,39,2023
110449192006,NA,NA,S1740,001,39,2023
110449191870,NA,NA,S1740,001,39,2023
11033373597124,Town Hwy 175,O,S1400,001,39,2023
110449187215,Twp Hwy T-172,O,S1400,001,39,2023
110449191361,NA,NA,S1400,001,39,2023
110449191996,NA,NA,S1740,001,39,2023
110449191363,NA,NA,S1400,001,39,2023
110449189109,Randalls Run Rd,M,S1400,001,39,2023
110449191895,NA,NA,S1740,001,39,2023
1106073057060,Twp Hwy T-229,O,S1400,001,39,2023
110449185890,Co Rd 58,C,S1400,001,39,2023
110449186986,Kathy Ln,M,S1400,001,39,2023
110449191849,NA,NA,S1740,001,39,2023
110449188339,Courtney Rd,M,S1400,001,39,2023
110449185626,Co Rd 6,C,S1400,001,39,2023
110449187350,Twp Hwy T-407,O,S1400,001,39,2023
110449186791,Twp Hwy T-84,O,S1400,001,39,2023
110449186601,Knox Rd,M,S1400,001,39,2023
1104755869848,NA,NA,S1400,001,39,2023
110449188432,Mahogany Rd,M,S1400,001,39,2023
110449189133,Turkey Creek,M,S1400,001,39,2023
110449188734,Hazelbaker Rd,M,S1400,001,39,2023
110449190974,NA,NA,S1400,001,39,2023
110449189266,Richard Taylor Rd,M,S1400,001,39,2023
110449192055,NA,NA,S1740,001,39,2023
110449192061,NA,NA,S1740,001,39,2023
110449192067,NA,NA,S1740,001,39,2023
110449188504,Shivener Rd,M,S1400,001,39,2023
