LINEARID,FULLNAME,RTTYP,MTFCC,COUNTYFP,STATE_ID,YEAR
110758479070,Old US Hwy 59,U,S1400,001,40,2023
11015901954210,Dutch Mills Rd S,M,S1400,001,40,2023
1103928441896,State Hwy 59 S,S,S1200,001,40,2023
11015901954221,Dutch Mills Rd S,M,S1400,001,40,2023
1103928441069,Hwy 100 E,M,S1200,001,40,2023
1103925316123,Hwy 100 W,M,S1400,001,40,2023
110758479140,N 7th St,M,S1400,001,40,2023
1103928383405,N Third St,M,S1400,001,40,2023
1103805606194,N First St,M,S1400,001,40,2023
110758479143,N 8th St,M,S1400,001,40,2023
1104468905772,N 609 Rd,M,S1400,001,40,2023
1103826156575,N 4715 Rd,M,S1400,001,40,2023
1103794064024,N Williams St,M,S1400,001,40,2023
110758479091,N 1st St,M,S1400,001,40,2023
110758479123,N 5th St,M,S1400,001,40,2023
110758502371,N 6th St,M,S1400,001,40,2023
110758501732,N 7th St,M,S1400,001,40,2023
1103928438420,N Maple St,M,S1400,001,40,2023
1103689672063,N 610 Rd,M,S1400,001,40,2023
1103790956297,N 4773,M,S1400,001,40,2023
110758482136,N Flint St,M,S1400,001,40,2023
1103509799093,N 4623 Rd,M,S1400,001,40,2023
110758479102,N 3rd St,M,S1400,001,40,2023
110758479132,N 6th Pl,M,S1400,001,40,2023
110758479139,N 7th St,M,S1400,001,40,2023
110758479114,N 4th St,M,S1400,001,40,2023
110758479138,N 7th St,M,S1400,001,40,2023
110758479133,N 6th St,M,S1400,001,40,2023
1103916618638,N 4700 Rd,M,S1400,001,40,2023
1103818732919,N Williams St,M,S1400,001,40,2023
1103818736947,N Shady Ln,M,S1400,001,40,2023
110758479122,N 5th St,M,S1400,001,40,2023
110758479135,N 6th St,M,S1400,001,40,2023
110758479097,N 2nd St,M,S1200,001,40,2023
110758482141,N Front St,M,S1400,001,40,2023
110758484377,S Williams St,M,S1400,001,40,2023
110758484158,S Squyres Ave,M,S1400,001,40,2023
1103944973930,S 5th St,M,S1400,001,40,2023
1103940320294,S 4695 Rd,M,S1400,001,40,2023
1103914181782,S 4677 Rd,M,S1400,001,40,2023
11015784960247,S 4760 Rd,M,S1400,001,40,2023
1103928173916,S Maple St,M,S1400,001,40,2023
110758479118,S 4th St,M,S1400,001,40,2023
110758479125,S 5th St,M,S1400,001,40,2023
1103794109040,S 61697 Loop,M,S1400,001,40,2023
110758484178,S Cherokee St,M,S1400,001,40,2023
110758479128,S 5th St,M,S1400,001,40,2023
11019666113409,S 4725 Rd,M,S1400,001,40,2023
110758479137,S 6th St,M,S1400,001,40,2023
1103939514513,S 4697 Rd,M,S1400,001,40,2023
1103944379825,S 4780 Rd,M,S1400,001,40,2023
1103790803295,S 4700 Rd,M,S1400,001,40,2023
11033373607460,S 4742 Rd,M,S1400,001,40,2023
1104469408886,S 616 Rd,M,S1400,001,40,2023
11017129124042,S 4750 Rd,M,S1400,001,40,2023
110758504206,S 4740 Rd,M,S1740,001,40,2023
1103797856874,S Lake St,M,S1400,001,40,2023
110758479098,S 2nd St,M,S1200,001,40,2023
110758484232,S Oklahoma St,M,S1400,001,40,2023
1103928392834,S 4680 Rd,M,S1400,001,40,2023
1103717756185,S Hwy 59,M,S1200,001,40,2023
1106092754790,S Locust St,M,S1400,001,40,2023
1103718015235,S 610 Rd,M,S1400,001,40,2023
110758479104,S 3rd St,M,S1400,001,40,2023
1103794133559,S 4699 Rd,M,S1400,001,40,2023
110758482138,S Flint Ave,M,S1400,001,40,2023
1103794819749,S 4691 Rd,M,S1400,001,40,2023
1106087413342,S Bunch Rd,M,S1400,001,40,2023
11015707547765,S 4633 Rd,M,S1400,001,40,2023
110758479124,S 5th Pl,M,S1400,001,40,2023
1103928699259,S 4711 Rd,M,S1400,001,40,2023
1103938473270,S 4737 Rd,M,S1400,001,40,2023
1103794616319,S 4720 Rd,M,S1400,001,40,2023
1103823222750,S E 923 Rd,M,S1400,001,40,2023
110758504060,S 4741 Rd,M,S1740,001,40,2023
11015886636219,S 4700 Rd,M,S1400,001,40,2023
11017129118425,S 4733 Rd,M,S1400,001,40,2023
1103925317837,S 5th St,M,S1400,001,40,2023
110758479189,S Earl St,M,S1400,001,40,2023
1103794818233,S 4691rd,M,S1400,001,40,2023
1106092779875,S 4700 Rd,M,S1400,001,40,2023
1103931576488,S 4680 Rd,M,S1400,001,40,2023
110758479203,S Fork Rd,M,S1400,001,40,2023
110758501471,S 4734 Rd,M,S1400,001,40,2023
1103790538444,S Market Ave,M,S1400,001,40,2023
1103793660798,S Locust Ave,M,S1400,001,40,2023
1103790743677,S Williams St,M,S1400,001,40,2023
110758479117,S 4th St,M,S1400,001,40,2023
