LINEARID,FULLNAME,RTTYP,MTFCC,COUNTYFP,STATE_ID,YEAR
110218295844,Middle Brg Lp,M,S1400,001,41,2023
1103730240355,Middle Brg Lp,M,S1400,001,41,2023
11010927702963,US Hwy 30 Bus,U,S1200,001,41,2023
11010927702952,US Hwy 30 Bus,U,S1200,001,41,2023
11010927702933,US Hwy 30 Bus,U,S1200,001,41,2023
1102175042330,Hutchinson Spr,M,S1400,001,41,2023
1105598243897,Williams Wall Spr,M,S1400,001,41,2023
1105061293817,Halfway Spr,M,S1400,001,41,2023
110218295591,Austin Spr,M,S1200,001,41,2023
1102170182041,Lookout Access Spr,M,S1400,001,41,2023
1103660128679,Powder River Rd Pvt,M,S1780,001,41,2023
11010927704893,Old Oregon Trail Hwy,M,S1100,001,41,2023
11010927744065,Old Hwy 30,M,S1200,001,41,2023
11033373591739,Old Trestle Ln,M,S1400,001,41,2023
1102868813507,Old Wingville Rd,M,S1400,001,41,2023
110218297195,Old Wing Ville Rd,M,S1400,001,41,2023
110218295527,Old Trail Rd,M,S1400,001,41,2023
11010927709298,Old Oregon Trail Hwy,M,S1100,001,41,2023
11010927703761,Old Oregon Trail Hwy,M,S1100,001,41,2023
110218295175,Old Wood Rd,M,S1400,001,41,2023
1102281612977,Old Auburn Ln,M,S1400,001,41,2023
1102670310055,Old Auburn Ln,M,S1640,001,41,2023
1102281574067,Old Trestle Ln,M,S1740,001,41,2023
1102868813506,Old Wingville Rd,M,S1400,001,41,2023
1104263956761,Old US Hwy 30,U,S1400,001,41,2023
110218296546,Old Foothill Rd,M,S1400,001,41,2023
1102281612976,Old Auburn Ln,M,S1400,001,41,2023
110218294459,Old Hwy 30,M,S1400,001,41,2023
110218295583,Old Auburn Ln,M,S1400,001,41,2023
110218294456,Old Hwy 30,M,S1400,001,41,2023
1104263956742,Old US Hwy 30,U,S1400,001,41,2023
110218295796,Old Hubard Rd,M,S1400,001,41,2023
1102281574068,Old Trestle Ln,M,S1740,001,41,2023
1106072832293,Old Hwy 30,M,S1200,001,41,2023
1103518054616,Pvt Drvwy,M,S1400,001,41,2023
1103692815219,Pvt Dr Off NFD 5532,M,S1400,001,41,2023
1102281608924,Adams St E,M,S1400,001,41,2023
110218294635,3rd St E,M,S1400,001,41,2023
110218294689,6th St E,M,S1400,001,41,2023
110218294572,1st St E,M,S1400,001,41,2023
110218294620,2nd St E,M,S1400,001,41,2023
1103533773381,4Tth St E,M,S1400,001,41,2023
110218295858,Monroe St E,M,S1400,001,41,2023
1103533777100,4th St E,M,S1400,001,41,2023
110218294648,4th St E,M,S1400,001,41,2023
1109097787444,Washington St E,M,S1400,001,41,2023
110218296271,Madison St E,M,S1400,001,41,2023
110218295857,Monroe St E,M,S1400,001,41,2023
11033373592133,Fulton St E,M,S1400,001,41,2023
1104470135063,Washington St E,M,S1200,001,41,2023
110218296841,Jefferson St E,M,S1400,001,41,2023
110218294688,6th St E,M,S1400,001,41,2023
110218294678,5th St E,M,S1400,001,41,2023
