LINEARID,FULLNAME,RTTYP,MTFCC,COUNTYFP,STATE_ID,YEAR
110471840611,Kohler Mill Rd Exd,M,S1400,001,42,2023
110471835209,Ridge Rd Exd,M,S1400,001,42,2023
110471837801,Hospital Rd Exd,M,S1400,001,42,2023
110471835544,Chapel Rd Exd,M,S1400,001,42,2023
110471837802,Hospital Rd Exd,M,S1400,001,42,2023
110471836454,College Ave Exd,M,S1740,001,42,2023
110471833737,US Hwy 15 Bus,U,S1200,001,42,2023
11019626511152,US Hwy 15 Bus,U,S1200,001,42,2023
110471833736,US Hwy 15 Bus,U,S1200,001,42,2023
11019626511151,US Hwy 15 Bus,U,S1200,001,42,2023
110471840277,Old Waynesboro Rd,M,S1400,001,42,2023
110471841593,Old Zeigler Mill Rd,M,S1400,001,42,2023
110471837476,Old Carlisle Rd,M,S1400,001,42,2023
1106087870445,Old Railroad Rd,M,S1400,001,42,2023
110471840276,Old Waynesboro Rd,M,S1400,001,42,2023
110471834281,Old Mill Rd,M,S1400,001,42,2023
1104484105628,Old Rte 30,O,S1400,001,42,2023
1106087864135,Old US Rte 15,U,S1400,001,42,2023
110471836601,Old Hanover Rd,M,S1400,001,42,2023
110471837477,Old Carlisle Rd,M,S1400,001,42,2023
110471834900,Old Forge Rd,M,S1400,001,42,2023
110471837873,Old Loghouse Ln,M,S1400,001,42,2023
110471840940,Old Westminster Rd,M,S1400,001,42,2023
110471839766,Old Harrisburg Rd,M,S1200,001,42,2023
1104484105629,Old Rte 30,O,S1400,001,42,2023
110471834282,Old Mill Rd,M,S1400,001,42,2023
110471840941,Old Westminster Rd,M,S1400,001,42,2023
1103727952707,Old US Hwy 15,U,S1400,001,42,2023
1106092751893,Old Harrisburg Rd,M,S1400,001,42,2023
1104484089402,Old Rte 30,O,S1200,001,42,2023
110471834899,Old Forge Rd,M,S1400,001,42,2023
110471839775,Old Harrisburg Rd,M,S1400,001,42,2023
110471842316,Frog Pond Hollow N,M,S1400,001,42,2023
110471837809,Johnamac N,M,S1400,001,42,2023
110471838173,Reynolds Ave N,M,S1400,001,42,2023
110471838174,Reynolds Ave S,M,S1400,001,42,2023
110471837811,Johnamac S,M,S1400,001,42,2023
1103703679761,Buchanan Trl E,M,S1200,001,42,2023
110471836722,Lincoln Way E,M,S1200,001,42,2023
1104483935537,Lincoln Way E,M,S1200,001,42,2023
110471835176,Ranch Trl E,M,S1400,001,42,2023
110471835277,South E,M,S1400,001,42,2023
110471840805,Saint Johns Rd W,M,S1400,001,42,2023
110471836723,Lincoln Way W,M,S1200,001,42,2023
1104483935522,Lincoln Way W,M,S1200,001,42,2023
110471836345,N Allwood Dr,M,S1400,001,42,2023
110471839042,N Preakness St,M,S1400,001,42,2023
110471833877,N 6th Ave,M,S1400,001,42,2023
110471833854,N 5th Ave,M,S1400,001,42,2023
110471833857,N 5th St,M,S1400,001,42,2023
110471841887,N Steeplechase,M,S1400,001,42,2023
110471834255,N Main St,M,S1200,001,42,2023
110471835969,N Oxford Ave,M,S1400,001,42,2023
110471834078,N Gala,M,S1400,001,42,2023
11033193129078,N 5th St,M,S1400,001,42,2023
110471833697,N B Aly,M,S1730,001,42,2023
110471835163,N Queen St,M,S1200,001,42,2023
110471840800,N Saint James St,M,S1400,001,42,2023
110471838803,N Jefferson St,M,S1400,001,42,2023
110471833890,N 8th Ave,M,S1400,001,42,2023
110471838285,N Stratton St,M,S1400,001,42,2023
110471833932,N Hay St,M,S1400,001,42,2023
110471835162,N Queen St,M,S1200,001,42,2023
110471835351,N Water St,M,S1400,001,42,2023
110471836437,N Clinton St,M,S1400,001,42,2023
110471837423,N Blettner Ave,M,S1400,001,42,2023
110471835411,N Balder St,M,S1400,001,42,2023
110471836102,N Spring St,M,S1400,001,42,2023
110471833879,N 6th St,M,S1400,001,42,2023
110471838045,N Pheasant Way,M,S1400,001,42,2023
110471833801,N 2nd St,M,S1400,001,42,2023
110471836456,N College St,M,S1400,001,42,2023
11033193130281,N Bolton St,M,S1400,001,42,2023
1105598229274,N Hickory Ln,M,S1400,001,42,2023
1104484105622,N High St,M,S1200,001,42,2023
110471834327,N Pine St,M,S1400,001,42,2023
110471833838,N 4th Ave,M,S1400,001,42,2023
110471840182,N Washington St,M,S1400,001,42,2023
1103677775363,N Chamberlain Ct,M,S1400,001,42,2023
110471835669,N German St,M,S1400,001,42,2023
110471834955,N Jacob Aly,M,S1400,001,42,2023
110471834411,N View Dr,M,S1400,001,42,2023
110471833822,N 3rd St,M,S1400,001,42,2023
110471835718,N Howard St,M,S1400,001,42,2023
110471833840,N 4th St,M,S1400,001,42,2023
110471835352,N Water St,M,S1400,001,42,2023
110471835566,N Church St,M,S1400,001,42,2023
110471834257,N Main St,M,S1400,001,42,2023
110471841315,N Orchard View Dr,M,S1400,001,42,2023
110471833819,N 3rd Ave,M,S1400,001,42,2023
110471837686,N Franklin St,M,S1400,001,42,2023
110471833821,N 3rd St,M,S1400,001,42,2023
110471833841,N 4th St,M,S1400,001,42,2023
110471835123,N Peters St,M,S1400,001,42,2023
110471833710,N D Aly,M,S1730,001,42,2023
1104482015053,N Queen St,M,S1200,001,42,2023
110471835777,N Laurel Ln,M,S1400,001,42,2023
110471835901,N Miller St,M,S1400,001,42,2023
110471835460,N Berlin Ave,M,S1400,001,42,2023
110471839397,N Browns Dam Dr,M,S1400,001,42,2023
110471833711,N D Aly,M,S1730,001,42,2023
1103727969206,N B St,M,S1400,001,42,2023
110471835166,S Queen St,M,S1200,001,42,2023
110471838476,S Cheapside St,M,S1400,001,42,2023
110471841319,S Orchard View Dr,M,S1400,001,42,2023
110471833826,S 3rd St,M,S1400,001,42,2023
110471833825,S 3rd Ave,M,S1400,001,42,2023
110471840190,S Washington St,M,S1400,001,42,2023
1103339466762,S Howard Ave,M,S1400,001,42,2023
110471833867,S 5th St,M,S1400,001,42,2023
110471833845,S 4th St,M,S1400,001,42,2023
110471833934,S Hay St,M,S1400,001,42,2023
110471835052,S Maple Ave,M,S1400,001,42,2023
110471835486,S Bolton St,M,S1400,001,42,2023
110471834259,S Main St,M,S1200,001,42,2023
110471836738,S Madison St,M,S1400,001,42,2023
110471836724,S Lincoln Dr,M,S1400,001,42,2023
110471836104,S Spring St,M,S1400,001,42,2023
1103727978832,S Pheasant Way,M,S1400,001,42,2023
11012815113296,S Park Ave,M,S1400,001,42,2023
1103676683310,S Peters St,M,S1400,001,42,2023
110471835354,S Water St,M,S1400,001,42,2023
110471841524,S Steeplechase,M,S1400,001,42,2023
110471840468,S Confederate Ave,M,S1400,001,42,2023
110471838287,S Stratton St,M,S1400,001,42,2023
110471835167,S Queen St,M,S1200,001,42,2023
110471835971,S Oxford Ave,M,S1200,001,42,2023
110471833868,S 5th St,M,S1400,001,42,2023
110471833803,S 2nd St,M,S1400,001,42,2023
1106092749954,S College St,M,S1400,001,42,2023
110471833698,S B,M,S1400,001,42,2023
110471840368,S Bonniefield Dr,M,S1400,001,42,2023
110471833892,S 8th Ave,M,S1400,001,42,2023
1103925980539,S Miller St,M,S1400,001,42,2023
110471835414,S Balder St,M,S1400,001,42,2023
110471835211,S Ridge Rd,M,S1400,001,42,2023
110471835671,S German St,M,S1400,001,42,2023
110471834261,S Main St,M,S1400,001,42,2023
110471835779,S Laurel Ln,M,S1400,001,42,2023
110471834413,S Hillside Dr,M,S1400,001,42,2023
110471836347,S Allwood Dr,M,S1400,001,42,2023
1106077691914,S Reynolds St,M,S1400,001,42,2023
11029558406099,S Columbus Ave,M,S1400,001,42,2023
110471834961,S James Ave,M,S1400,001,42,2023
110471835355,S Water St,M,S1400,001,42,2023
110471835568,S Church St,M,S1400,001,42,2023
110471836459,S College Ave,M,S1400,001,42,2023
110471840158,S University Dr,M,S1400,001,42,2023
110471835720,S Howard St,M,S1400,001,42,2023
110471840188,S Washington St,M,S1200,001,42,2023
110471833882,S 6th St,M,S1400,001,42,2023
11033193147356,S Orange St,M,S1400,001,42,2023
110471835945,S Orange St,M,S1400,001,42,2023
110471835462,S Berlin Ave,M,S1400,001,42,2023
110471835885,S Middle St,M,S1400,001,42,2023
110471836652,S Hickory Ln,M,S1400,001,42,2023
110471834108,S High St,M,S1400,001,42,2023
110471833844,S 4th St,M,S1400,001,42,2023
110471835413,S Balder St,M,S1400,001,42,2023
110471833883,S 6th St,M,S1400,001,42,2023
110471836651,S Hickory Ln,M,S1400,001,42,2023
110471833714,S D Aly,M,S1730,001,42,2023
110471840801,S Saint James St,M,S1400,001,42,2023
110471838805,S Jefferson St,M,S1400,001,42,2023
110471837691,S Franklin St,M,S1400,001,42,2023
110471834080,S Gala,M,S1400,001,42,2023
1106258626359,S Chamberlain Ct,M,S1400,001,42,2023
110471835709,S Hoover Aly,M,S1400,001,42,2023
110471839412,S Browns Dam Dr,M,S1400,001,42,2023
11033193121531,S K St,M,S1400,001,42,2023
110471833693,S A Aly,M,S1730,001,42,2023
110471835833,E Locust St,M,S1400,001,42,2023
110471837431,E Broadway,M,S1400,001,42,2023
110471838115,E Railroad St,M,S1400,001,42,2023
110471834110,E High St,M,S1400,001,42,2023
110471834210,E Charles,M,S1400,001,42,2023
110471835664,E George St,M,S1400,001,42,2023
1103689897986,E Golden Ln,M,S1400,001,42,2023
110471835464,E Berlin Rd,M,S1200,001,42,2023
110471837320,E Zerfing Aly,M,S1400,001,42,2023
110471835358,E Water St,M,S1400,001,42,2023
110471835832,E Locust St,M,S1400,001,42,2023
110471836614,E Harmony Dr,M,S1400,001,42,2023
110471841084,E Company Farm Rd,M,S1400,001,42,2023
110471836604,E Hanover St,M,S1200,001,42,2023
110471836605,E Hanover St,M,S1200,001,42,2023
110471834425,E Wind Trl,M,S1400,001,42,2023
110471835764,E Landis Dr,M,S1400,001,42,2023
110471835887,E Middle St,M,S1400,001,42,2023
110471839049,E Racehorse Aly,M,S1400,001,42,2023
110471835786,E Legion Aly,M,S1400,001,42,2023
110471835828,E Locust Aly,M,S1400,001,42,2023
110471834240,E Lynn Dr,M,S1400,001,42,2023
110471836158,E Summit Dr,M,S1400,001,42,2023
110471837429,E Broadway,M,S1200,001,42,2023
110471834111,E High St,M,S1400,001,42,2023
110471834165,E King St,M,S1200,001,42,2023
110471835679,E Golden Ln,M,S1400,001,42,2023
