LINEARID,FULLNAME,RTTYP,MTFCC,COUNTYFP,STATE_ID,YEAR
110218833999,N Greenwood Ave Exd,M,S1200,001,45,2023
1106092823408,E Hampton St Exd,M,S1400,001,45,2023
110218832398,McBride St Exd,M,S1400,001,45,2023
110218832627,Simpson St Exd,M,S1400,001,45,2023
110218832974,Edgewood Exd,M,S1740,001,45,2023
110218832151,Haigler St Exd,M,S1400,001,45,2023
1103662968733,Cambridge St Exd,M,S1400,001,45,2023
110218831175,Hagler St Exd,M,S1400,001,45,2023
110218830175,Depot St Exd,M,S1400,001,45,2023
110218830960,Church St Exd,M,S1400,001,45,2023
110218832975,Edgewood Exd,M,S1740,001,45,2023
110218836252,Depot Exd,M,S1400,001,45,2023
110218834263,Secession St Exd,M,S1400,001,45,2023
1109097446906,Elizabeth St Exd,M,S1400,001,45,2023
110218831176,Hagler St Exd,M,S1400,001,45,2023
110218832369,Lucille St Exd,M,S1400,001,45,2023
110218830935,Carver St Exd,M,S1400,001,45,2023
110218835512,Mt Olive Church Rd Exd,M,S1400,001,45,2023
1106049482197,Sullivan Cir Exd,M,S1400,001,45,2023
110218829037,State Hwy 28 Byp,S,S1200,001,45,2023
110218829915,State Hwy 28-72 Con,S,S1400,001,45,2023
110218835174,Old Calhoun Falls Hwy,M,S1400,001,45,2023
1106087405045,Old Fairground Rd,M,S1400,001,45,2023
110218833994,Old Greenwood Hwy,M,S1400,001,45,2023
110218835176,Old Calhoun Falls Rd,M,S1400,001,45,2023
110218835177,Old Calhoun Falls Rd,M,S1400,001,45,2023
110218831799,Old Vienna Rd,M,S1400,001,45,2023
110218829286,Old Dam Rd,M,S1400,001,45,2023
110218835522,Old Shoals Junction Rd,M,S1400,001,45,2023
1104482953113,Old Law Range,M,S1730,001,45,2023
110218835178,Old Calhoun Falls Rd,M,S1400,001,45,2023
110218831797,Old Vienna Rd,M,S1400,001,45,2023
110218833153,Old Landfill Rd,M,S1400,001,45,2023
1106087329239,Old Douglas Mill Rd,M,S1200,001,45,2023
110218836226,Old Law Range St,M,S1730,001,45,2023
110218833750,Old Abbeville Hwy,M,S1400,001,45,2023
1106087451168,Old Hodges Rd,M,S1400,001,45,2023
110218835173,Old Calhoun Falls Hwy,M,S1400,001,45,2023
110218831798,Old Vienna Rd,M,S1400,001,45,2023
1104485698774,Hwy 81 N,M,S1200,001,45,2023
1104485787460,Hwy 184 N,M,S1200,001,45,2023
1104485700175,Hwy 81 N,M,S1200,001,45,2023
1109097446811,Hwy 28 N,M,S1200,001,45,2023
1106087312102,Hwy 185 N,M,S1200,001,45,2023
110218829723,Mill Rd N,M,S1400,001,45,2023
1104485702295,Hwy 81 S,M,S1200,001,45,2023
