LINEARID,FULLNAME,RTTYP,MTFCC,COUNTYFP,STATE_ID,YEAR
11018383904075,Old US Hwy 16,U,S1400,003,46,2023
110221836111,N 5th Ave,M,S1400,003,46,2023
110221836124,N Duff St,M,S1400,003,46,2023
110221836138,N Vine St,M,S1400,003,46,2023
1103794270610,N Congress,M,S1400,003,46,2023
110221836110,N 5th St,M,S1400,003,46,2023
110221836094,N 3rd Ave,M,S1400,003,46,2023
110221836481,N Sanborn St,M,S1400,003,46,2023
110221836068,N 1st St,M,S1400,003,46,2023
110221836133,N Main St,M,S1400,003,46,2023
1106087306317,N 2nd St,M,S1400,003,46,2023
110221836095,N 3rd St,M,S1400,003,46,2023
110221836467,N Walnut St,M,S1400,003,46,2023
110221836105,N 4th St,M,S1400,003,46,2023
110221836104,N 4th Ave,M,S1400,003,46,2023
110221836466,N Walnut St,M,S1400,003,46,2023
1103945452640,N Union St,M,S1400,003,46,2023
110221836129,N Iowa St,M,S1400,003,46,2023
110221836067,N 1st Ave,M,S1400,003,46,2023
110221836495,N Railroad St,M,S1400,003,46,2023
110221836114,N 6th St,M,S1400,003,46,2023
110221836472,N Kimball St,M,S1400,003,46,2023
110221836451,N Pearl St,M,S1400,003,46,2023
110221836079,N 2nd Ave,M,S1400,003,46,2023
110221836115,S 6th St,M,S1400,003,46,2023
110221836468,S Walnut St,M,S1400,003,46,2023
110221836483,S Campbell St,M,S1400,003,46,2023
110221836106,S 4th Ave,M,S1400,003,46,2023
110221836118,S 7th St,M,S1400,003,46,2023
110221836097,S 3rd St,M,S1400,003,46,2023
110221836452,S South Ave,M,S1400,003,46,2023
110221836135,S Main St,M,S1400,003,46,2023
110221836496,S Railroad St,M,S1400,003,46,2023
110221836459,S Hanten St,M,S1400,003,46,2023
1106130615970,S 3rd Ave,M,S1400,003,46,2023
110221836134,S Main St,M,S1400,003,46,2023
1103794197477,S Vine St,M,S1400,003,46,2023
110221836503,S E Railroad St,M,S1400,003,46,2023
110221836442,S Ellis St,M,S1400,003,46,2023
110221836107,S 4th St,M,S1400,003,46,2023
110221836505,S W Railroad St,M,S1400,003,46,2023
110221836491,S Johnston St,M,S1400,003,46,2023
110221836083,S 2nd Ave,M,S1400,003,46,2023
110221836069,S 1st Ave,M,S1400,003,46,2023
110221836084,S 2nd St,M,S1400,003,46,2023
110221836082,S 2nd Ave,M,S1400,003,46,2023
110221836070,S 1st St,M,S1400,003,46,2023
110221836117,E 6th St,M,S1500,003,46,2023
110221836454,E State St,M,S1400,003,46,2023
110221836119,E 7th St,M,S1400,003,46,2023
1103945452635,E 6th St,M,S1400,003,46,2023
110221836086,E 2nd St,M,S1400,003,46,2023
110221836098,E 3rd St,M,S1400,003,46,2023
110221836099,E 3rd St,M,S1400,003,46,2023
110221836108,E 4th St,M,S1400,003,46,2023
110221836071,E 1st St,M,S1400,003,46,2023
110221836470,E Deleyan St,M,S1400,003,46,2023
110221836112,E 5th St,M,S1400,003,46,2023
110221836072,E 1st St,M,S1400,003,46,2023
110221836087,E 2nd St,M,S1400,003,46,2023
1103945452636,E 6th St,M,S1400,003,46,2023
110221836486,E Commerce St,M,S1400,003,46,2023
110221836474,E Madison St,M,S1400,003,46,2023
110221836085,E 2nd St,M,S1400,003,46,2023
110221836102,W 4th St,M,S1400,003,46,2023
110221836089,W 2nd St,M,S1400,003,46,2023
110221836074,W 1st St,M,S1400,003,46,2023
110221836088,W 2nd St,M,S1400,003,46,2023
110221836113,W 5th St,M,S1400,003,46,2023
110221836100,W 3rd St,M,S1400,003,46,2023
110221836073,W 1st St,M,S1400,003,46,2023
110221836455,W State St,M,S1400,003,46,2023
110221836487,W Commerce St,M,S1400,003,46,2023
110221836101,W 3rd St,M,S1400,003,46,2023
110221836265,264th St,M,S1400,003,46,2023
110221836023,Co Rd 45,C,S1400,003,46,2023
110221836401,389th Ave,M,S1400,003,46,2023
110221836278,266th St,M,S1400,003,46,2023
1105319975560,268th St,M,S1400,003,46,2023
110221836163,243rd St,M,S1400,003,46,2023
110221836399,389th Ave,M,S1400,003,46,2023
110221836149,240th St,M,S1500,003,46,2023
110221836155,242nd St,M,S1400,003,46,2023
110221836405,390th Ave,M,S1400,003,46,2023
110221836145,239th St,M,S1400,003,46,2023
110221835941,Co Rd 2,C,S1400,003,46,2023
110221835952,Co Rd 8,C,S1400,003,46,2023
11010887059290,382nd Ave,M,S1400,003,46,2023
110221836345,379th Ave,M,S1400,003,46,2023
110221836267,264th St,M,S1400,003,46,2023
110221836645,NA,NA,S1630,003,46,2023
110221836340,378th Ave,M,S1400,003,46,2023
110221836356,382nd Ave,M,S1400,003,46,2023
110221836475,Prairie Rd,M,S1400,003,46,2023
110221836019,Co Rd 44,C,S1400,003,46,2023
110221836335,377th Ave,M,S1400,003,46,2023
110221836234,257th St,M,S1400,003,46,2023
110221836359,382nd Ave,M,S1400,003,46,2023
110221836353,381st Ave,M,S1400,003,46,2023
110221836404,390th Ave,M,S1400,003,46,2023
110464574790,394th Ave,M,S1500,003,46,2023
110221836010,Co Rd 38,C,S1400,003,46,2023
110221836011,Co Rd 38,C,S1400,003,46,2023
110221835980,Co Rd 27,C,S1400,003,46,2023
110221835988,Co Rd 31,C,S1400,003,46,2023
110221836192,248th St,M,S1400,003,46,2023
110221836321,374th Ave,M,S1400,003,46,2023
110221836017,Co Rd 44,C,S1400,003,46,2023
110221835949,Co Rd 7,C,S1400,003,46,2023
110221836208,252nd St,M,S1400,003,46,2023
110221835978,Co Rd 26,C,S1400,003,46,2023
110221836232,256th St,M,S1500,003,46,2023
110221836426,393rd Ave,M,S1400,003,46,2023
110464574783,394th Ave,M,S1400,003,46,2023
110221836231,256th St,M,S1400,003,46,2023
110221836196,250th St,M,S1400,003,46,2023
110221836327,375th Ave,M,S1400,003,46,2023
1106117651820,243 St,M,S1400,003,46,2023
110221836164,243rd St,M,S1400,003,46,2023
11010887059600,Walnut St,M,S1400,003,46,2023
110221836078,2nd St,M,S1400,003,46,2023
110221836065,1st St,M,S1400,003,46,2023
110221836453,State St,M,S1400,003,46,2023
110221836501,Davenport St,M,S1400,003,46,2023
110221836128,Iowa St,M,S1400,003,46,2023
110221835979,Co Rd 26,C,S1500,003,46,2023
110221836012,Co Rd 39,C,S1400,003,46,2023
110221836613,NA,NA,S1400,003,46,2023
1103945816005,NA,NA,S1630,003,46,2023
110221836004,Co Rd 35,C,S1400,003,46,2023
110221836236,257th St,M,S1400,003,46,2023
110221836039,Co Rd 54,C,S1500,003,46,2023
110221836375,384th Ave,M,S1400,003,46,2023
110221836334,377th Ave,M,S1400,003,46,2023
110221836346,379th Ave,M,S1400,003,46,2023
110221836341,378th Ave,M,S1400,003,46,2023
110221836611,NA,NA,S1400,003,46,2023
110221836386,386th Ave,M,S1400,003,46,2023
1103672787956,263rd St,M,S1400,003,46,2023
110221836261,262nd St,M,S1500,003,46,2023
110221836274,265th St,M,S1400,003,46,2023
110221836310,371st Ave,M,S1500,003,46,2023
1103716843604,268th St,M,S1500,003,46,2023
1106117651808,267 St,M,S1400,003,46,2023
110221836448,Maple St,M,S1400,003,46,2023
110221836092,3rd St,M,S1400,003,46,2023
110221836649,NA,NA,S1630,003,46,2023
110221836214,253rd St,M,S1400,003,46,2023
110221835982,Co Rd 28,C,S1400,003,46,2023
110221836655,NA,NA,S1640,003,46,2023
