LINEARID,FULLNAME,RTTYP,MTFCC,COUNTYFP,STATE_ID,YEAR
110341311839,Pleasant Vw Lp,M,S1400,001,47,2023
1106087313020,Bus Terminal Rd,M,S1400,001,47,2023
1106092825459,Old 25 W,M,S1400,001,47,2023
1105061349218,Old 25 W,M,S1400,001,47,2023
1105061349118,Old 25 W,M,S1400,001,47,2023
110341312562,Old Moores Gap,M,S1400,001,47,2023
110341310182,Old Bryant Ln,M,S1400,001,47,2023
110341310181,Old Bryant Ln,M,S1400,001,47,2023
110341310136,Old Batley Rd,M,S1400,001,47,2023
1106087855052,Old Edgemoor Ln,M,S1400,001,47,2023
1102156279805,Old 25,M,S1400,001,47,2023
110341313356,Old Sinking Springs Rd,M,S1400,001,47,2023
110341311877,Old Red Hill Rd,M,S1400,001,47,2023
110341312187,Old Lake City Hwy,M,S1400,001,47,2023
110341312861,Old Clear Branch Ln,M,S1400,001,47,2023
110341312177,Old Knoxville Hwy,M,S1400,001,47,2023
110341309141,Old Hwy 61,M,S1400,001,47,2023
1106087320269,Old Black Ferry Ln,M,S1400,001,47,2023
1103678344756,Old Blacksferry Ln,M,S1400,001,47,2023
110341310949,Old Clinton Hwy,M,S1400,001,47,2023
1102156474755,Old Emory Rd,M,S1400,001,47,2023
110341312046,Old Boy Scout Rd,M,S1400,001,47,2023
110341312161,Old Jacksboro Pike,M,S1400,001,47,2023
110341313443,Old Fratersville Hollow Ln,M,S1400,001,47,2023
110341312423,Old Cane Creek Rd,M,S1400,001,47,2023
110341312859,Old Clear Branch Ln,M,S1400,001,47,2023
1106087322574,Old Tacora Hills Rd,M,S1400,001,47,2023
110341312462,Old Evacuation Ln,M,S1400,001,47,2023
110341310332,Old Forest Trl,M,S1400,001,47,2023
1103678344801,Old Blacksferry Ln,M,S1400,001,47,2023
110341312724,Old Hines Creek Rd,M,S1400,001,47,2023
110341312860,Old Clear Branch Ln,M,S1400,001,47,2023
1105598242885,Old Emory Rd,M,S1400,001,47,2023
1103614366137,Old Edgemoor Rd,M,S1400,001,47,2023
110341313015,Old Andersonville Pike,M,S1400,001,47,2023
110341313444,Old Fratersville Hollow Ln,M,S1400,001,47,2023
1102156311407,Old Power Mill Rd,M,S1400,001,47,2023
110341312900,Old Frost Bottom Rd,M,S1400,001,47,2023
110341310951,Old Clinton Pike,M,S1400,001,47,2023
110341312872,Old Dutch Valley Rd,M,S1400,001,47,2023
110341311065,Old Granite Rd,M,S1400,001,47,2023
110341310184,Old Bryant Rd,M,S1400,001,47,2023
1103696209724,Old Tacora Hills Rd,M,S1400,001,47,2023
1106087322575,Old Tacora Hills Rd,M,S1400,001,47,2023
110341312313,Old Shinliver Ln,M,S1400,001,47,2023
110341310013,Old State Cir,M,S1400,001,47,2023
110479682002,Old Chestnut Ridge Rd,M,S1400,001,47,2023
1102378477153,Old Emory Rd,M,S1400,001,47,2023
110341311598,Old Edgemoor Rd,M,S1400,001,47,2023
110479682001,Old Chestnut Ridge Rd,M,S1400,001,47,2023
1102281642230,Old Edgemoor Ln,M,S1400,001,47,2023
110341311487,Old Burrville Ln,M,S1400,001,47,2023
110341310135,Old Batley Rd,M,S1400,001,47,2023
110341310654,Pub Safety Ln,M,S1400,001,47,2023
110341310612,Police S,M,S1400,001,47,2023
110341309487,Main St S,M,S1400,001,47,2023
110341309488,Main St E,M,S1400,001,47,2023
110341313474,Centre Stage Business Park E,M,S1400,001,47,2023
110341313475,Centre Stage Business Park W,M,S1400,001,47,2023
110341309490,Main St W,M,S1400,001,47,2023
1103614363800,Sherwood Cir W,M,S1400,001,47,2023
110341312480,Forestdale St SE,M,S1400,001,47,2023
11033373593652,Bank Ave SW,M,S1400,001,47,2023
110341311006,N Dogwood Rd,M,S1400,001,47,2023
1104262064278,N Main St,M,S1200,001,47,2023
110341310000,N Slope Ln,M,S1400,001,47,2023
110341311104,N Hickory Ln,M,S1400,001,47,2023
110341310827,N Alabama Rd,M,S1400,001,47,2023
1102156370420,N Tulane Ave,M,S1400,001,47,2023
110341310635,N Purdue Ave,M,S1400,001,47,2023
1106087917089,N Charles G Seivers Blvd,M,S1200,001,47,2023
110341311698,N Illinois Ave,M,S1200,001,47,2023
1104347460500,N Illinois Ave,M,S1200,001,47,2023
110341311187,N Lincoln Cir,M,S1400,001,47,2023
110341310777,N Walker Ln,M,S1400,001,47,2023
110341309830,N Hicks St,M,S1400,001,47,2023
110341311273,N Overton St,M,S1400,001,47,2023
110341310670,N Seneca Rd,M,S1400,001,47,2023
1105597288496,N Charles G Seivers Blvd,M,S1200,001,47,2023
1104261332308,N Main St,M,S1200,001,47,2023
110341312148,N Hollywood Cir,M,S1400,001,47,2023
110341312174,N Jefferson Cir,M,S1400,001,47,2023
110341310892,N Bowling St,M,S1400,001,47,2023
110341310113,N Apache Rd,M,S1400,001,47,2023
110341309391,N Duke Pl,M,S1400,001,47,2023
1104261419989,N Main St,M,S1200,001,47,2023
1104261419990,N Main St,M,S1200,001,47,2023
1102156263305,N Medaris St,M,S1400,001,47,2023
1109097725895,N Taube Ln,M,S1400,001,47,2023
110341310735,N Tulane Ave,M,S1400,001,47,2023
110341311312,N Rutgers Ave,M,S1400,001,47,2023
110341309588,N View Ln,M,S1400,001,47,2023
1102342220863,N Eagle Bend Rd,M,S1400,001,47,2023
110341310019,N Tampa Ln,M,S1400,001,47,2023
110341310354,S Fowler St,M,S1400,001,47,2023
110341311314,S Rutgers Ave,M,S1400,001,47,2023
1105598138880,S Taube Ln,M,S1400,001,47,2023
1106087432009,S Charles G Seivers Blvd,M,S1200,001,47,2023
1106087441997,S Illinois Ave,M,S1200,001,47,2023
110341310021,S Tampa Ln,M,S1400,001,47,2023
110341310894,S Bowling St,M,S1400,001,47,2023
110341310353,S Fowler Cir,M,S1400,001,47,2023
1102281634747,S Benedict Ave,M,S1400,001,47,2023
1102378474561,S Tulane Ave,M,S1400,001,47,2023
110341312150,S Hollywood Cir,M,S1400,001,47,2023
110341309832,S Hicks St,M,S1400,001,47,2023
1106087431901,S Charles G Seivers Blvd,M,S1200,001,47,2023
110341309393,S Duke Pl,M,S1400,001,47,2023
110341311165,S Lansing Rd,M,S1400,001,47,2023
110341309501,S Main Ave,M,S1200,001,47,2023
110341311699,S Illinois Ave,M,S1200,001,47,2023
110341310736,S Tulane Ave,M,S1400,001,47,2023
