LINEARID,FULLNAME,RTTYP,MTFCC,COUNTYFP,STATE_ID,YEAR
1102202808835,E 400 N,M,S1400,001,49,2023
1106092781265,E 60 N,M,S1400,001,49,2023
110253416509,E 190 N,M,S1400,001,49,2023
1102328528154,E Cottonwood Ln N,M,S1400,001,49,2023
1103730231304,E 125 N,M,S1400,001,49,2023
1103730445708,E 4000 N,M,S1400,001,49,2023
1102379611875,E 1050 N,M,S1400,001,49,2023
1103730313791,E 3500 N,M,S1400,001,49,2023
1104266820970,E 425 N,M,S1400,001,49,2023
1103790952337,E 3100 N,M,S1400,001,49,2023
110253416565,E 425 N,M,S1400,001,49,2023
1103730295128,E 200 N,M,S1200,001,49,2023
110253416574,E 450 N,M,S1400,001,49,2023
1103735418540,E 1050 N,M,S1400,001,49,2023
110253416672,W 1400 N,M,S1400,001,49,2023
1102638374027,W 8500 N,M,S1400,001,49,2023
1102202737530,W 8500 N,M,S1400,001,49,2023
1104991842343,2150 N,M,S1400,001,49,2023
110253416599,800 N,M,S1400,001,49,2023
110253416605,830 N,M,S1400,001,49,2023
1105059780015,400 N,M,S1400,001,49,2023
1102379612057,1800 N,M,S1400,001,49,2023
110253416643,1025 N,M,S1400,001,49,2023
110253416616,900 N,M,S1400,001,49,2023
110253416502,160 N,M,S1400,001,49,2023
110253416609,850 N,M,S1400,001,49,2023
1104991842219,2050 N,M,S1400,001,49,2023
110253416576,500 N,M,S1400,001,49,2023
110253416751,8600 N,M,S1400,001,49,2023
1103790952376,3100 N,M,S1400,001,49,2023
110253416647,1175 N,M,S1400,001,49,2023
1104470718912,400 N,M,S1400,001,49,2023
1103689691220,1400 N,M,S1400,001,49,2023
110253416435,100 N,M,S1400,001,49,2023
110253416611,885 N,M,S1400,001,49,2023
1103663754982,700 N,M,S1400,001,49,2023
110253416663,1250 N,M,S1400,001,49,2023
110253416584,600 N,M,S1400,001,49,2023
1103939825480,3700 N,M,S1400,001,49,2023
110253416436,100 N,M,S1400,001,49,2023
110253416569,445 N,M,S1400,001,49,2023
110253416560,425 N,M,S1400,001,49,2023
1103939825445,3700 N,M,S1400,001,49,2023
1102379611702,600 N,M,S1400,001,49,2023
1103890700928,E 60 S,M,S1400,001,49,2023
1104265260702,W 800 S,M,S1400,001,49,2023
1104437259925,W 1000 S,M,S1200,001,49,2023
1103342733192,W 400 S,M,S1400,001,49,2023
110253416557,W 400 S,M,S1400,001,49,2023
1104430449637,W 250 S,M,S1400,001,49,2023
1104265258979,W 800 S,M,S1400,001,49,2023
1102202719758,W 450 S,M,S1400,001,49,2023
110253416720,2900 S,M,S1400,001,49,2023
110253416725,3700 S,M,S1400,001,49,2023
1106087415922,4500 S,M,S1400,001,49,2023
1103480638174,6900 S,M,S1400,001,49,2023
1106087425061,900 S,M,S1400,001,49,2023
1103659415427,175 S,M,S1400,001,49,2023
1102379611997,5300 S,M,S1400,001,49,2023
110253416738,5000 S,M,S1400,001,49,2023
110253416702,2100 S,M,S1400,001,49,2023
1102202740879,9300 S,M,S1400,001,49,2023
1103342729006,150 S,M,S1400,001,49,2023
110253416730,4100 S,M,S1400,001,49,2023
110253416732,4500 S,M,S1400,001,49,2023
110253416585,600 S,M,S1400,001,49,2023
110253416734,4700 S,M,S1400,001,49,2023
