LINEARID,FULLNAME,RTTYP,MTFCC,COUNTYFP,STATE_ID,YEAR
110253432530,Walnut St Exd,M,S1400,001,54,2023
11010909898105,Pt Pleasant Church Lp,M,S1400,001,54,2023
110253432194,Old Hwy 77,M,S1400,001,54,2023
1103691017503,Old Audra Park Rd,M,S1400,001,54,2023
1105061349985,Old Delta 13,M,S1400,001,54,2023
110253432187,Old Wv 38,M,S1400,001,54,2023
110253432190,Old Wv 38,M,S1400,001,54,2023
110253432884,Old Railroad Grade,M,S1400,001,54,2023
110253431172,Old US Hwy 250,U,S1400,001,54,2023
110253433145,Old Morgantown Pike,M,S1400,001,54,2023
1103679005826,Old Audra Park Rd,M,S1400,001,54,2023
110253432191,Old Wv 38,M,S1400,001,54,2023
1104259428520,Old Co Rte 38,C,S1400,001,54,2023
110253432189,Old Wv 38,M,S1400,001,54,2023
110253432188,Old Wv 38,M,S1400,001,54,2023
110253431166,Old Rte 250,O,S1400,001,54,2023
1103017048464,Old US Hwy 250,U,S1400,001,54,2023
110253431165,Old Rte 250,O,S1400,001,54,2023
1103691021630,Hacker S,M,S1400,001,54,2023
110253432293,Circle Dr E,M,S1400,001,54,2023
110253432297,Circle Dr W,M,S1400,001,54,2023
1109088795224,N Sturmer St,M,S1400,001,54,2023
1103809460025,N Custer St,M,S1400,001,54,2023
110253431696,N High St,M,S1400,001,54,2023
110253432739,N Bradshaw St,M,S1400,001,54,2023
110253431719,N Main St,M,S1200,001,54,2023
1103809489017,N Brandenburg St,M,S1400,001,54,2023
1102304419964,N Walnut St,M,S1400,001,54,2023
1102304419960,N Walnut St,M,S1400,001,54,2023
110253431721,S Main St,M,S1200,001,54,2023
110253432533,S Walnut St,M,S1400,001,54,2023
110253431320,S Row Ave,M,S1400,001,54,2023
110253432443,S Minear St,M,S1400,001,54,2023
110253431699,S High St,M,S1400,001,54,2023
11017128870008,S Hice St,M,S1400,001,54,2023
11017129406695,S Shilo Rd,M,S1400,001,54,2023
110253432683,S Sturmer St,M,S1400,001,54,2023
110253433556,E Bend-Mt Liberty,M,S1400,001,54,2023
110253431659,E Crim Ave,M,S1400,001,54,2023
110253433555,E Bend-Mt Liberty,M,S1400,001,54,2023
110253433557,E Bend-Mt Liberty,M,S1400,001,54,2023
1102304419818,W Junior Rd,M,S1400,001,54,2023
110253431279,W 8th St,M,S1400,001,54,2023
1105061365005,W Junior,M,S1400,001,54,2023
1106093064085,W Junior Rd,M,S1400,001,54,2023
110253431128,W 1st St,M,S1400,001,54,2023
110253431263,W 7th St,M,S1400,001,54,2023
1108297134721,W Shanab,M,S1400,001,54,2023
1108297134722,W Shanab,M,S1400,001,54,2023
1103662285812,W Center St,M,S1400,001,54,2023
1102304419817,W Junior Rd,M,S1400,001,54,2023
11017129116164,W Point Dr,M,S1400,001,54,2023
110253432410,W Junior Rd,M,S1400,001,54,2023
110253431895,Co Rte 38/13,C,S1400,001,54,2023
1102406835443,NA,NA,S1400,001,54,2023
110253439742,NA,NA,S1500,001,54,2023
110253431848,Co Rte 250/3,C,S1400,001,54,2023
110253431791,Wolf St,M,S1400,001,54,2023
11017129713757,England Rd,M,S1400,001,54,2023
1103616785090,NA,NA,S1400,001,54,2023
1104259139729,Dogwood St,M,S1400,001,54,2023
1102167431481,NA,NA,S1400,001,54,2023
110253431863,Co Rte 250/7,C,S1400,001,54,2023
1104259348013,Silent Grove,M,S1400,001,54,2023
110253431846,Co Rte 250/2,C,S1400,001,54,2023
